title,year,conference
 Playinghard exploration games by watching youtube,2018, In NeurIPS
 Deepmind lab,2016, arXiv preprintarXiv:1612
 Exploration by random networkdistillation,2019, In ICLR
 Dynamic treatment regimes,2014, Annual review of statisticsand its application
 Quantifying generaliza-tion in reinforcement learning,2019, In ICML
 Autoaugment:Learning augmentation policies from data,2019, In CVPR
 Deep direct reinforcementlearning for financial signal representation and trading,2016, IEEE transactions on neural networksand learning systems
 Improved regularization of convolutional neural networkswith cutout,2017, arXiv preprint arXiv:1708
 Generalization and regularization indqn,2018, arXiv preprint arXiv:1810
 Transfer learning for related reinforcement learning tasks viaimage-to-image translation,2019, In ICML
 Understanding the difficulty of training deep feedforward neuralnetworks,2010, In AISTATS
 Generative adversarial nets,2014, In NeurIPS
 Explaining and harnessing adversarialexamples,2015, In ICLR
 Deep residual learning for image recog-nition,2016, In CVPR
 Darla: Improving zero-shot trans-fer in reinforcement learning,2017, In ICML
 Adversarial attackson neural network policies,2017, arXiv preprint arXiv:1702
 Batch normalization: Accelerating deep network training byreducing internal covariate shift,2015, In ICML
 Learning not to learn:Training deep neural networks with biased data,2019, In CVPR
 Adam: A method for stochastic optimization,2015, In ICLR
 Virtual adversarial training: aregularization method for supervised and semi-supervised learning,2018, IEEE transactions on patternanalysis and machine intelligence
 Human-levelcontrol through deep reinforcement learning,2015, Nature
 Deep online learning via meta-learning:Continual adaptation for model-based rl,2019, In ICLR
 Randomized prior functions for deep reinforcementlearning,2018, In NeurIPS
 Actor-mimic: DeeP multitask andtransfer reinforcement learning,2016, In ICLR
 Sim-to-real transferof robotic control With dynamics randomization,2018, In ICRA
 Domain randomization for active Pose estimation,2019, In ICRA
 Policy distil-lation,2016, In ICLR
 Progressive neural networks,2016, arXiv preprintarXiv:1606
 Trust regionpolicy optimization,2015, In ICML
 High-dimensional continuous control using generalized advantage estimation,2016, In ICLR
 Proximal policyoptimization algorithms,2017, arXiv preprint arXiv:1707
 Grad-cam: Visual explanations from deep networks via gradient-based local-ization,2017, In ICCV
 Mastering the game of gowithout human knowledge,2017, Nature
 Intriguing properties of neural networks,2014, In ICLR
 Do-main randomization for transferring deep neural networks from simulation to the real world,2017, InIROS
 Function optimization using connectionist reinforcement learningalgorithms,1991, Connection Science
 Unsupervised dataaugmentation,2019, arXiv preprint arXiv:1904
 A dissection of overfitting and generalization incontinuous reinforcement learning,2018, arXiv preprint arXiv:1806
 A study on overfitting in deepreinforcement learning,2018, arXiv preprint arXiv:1804
 Environment probing interaction policies,2019, InICLR
