title,year,conference
 Learning to solve circuit-SAT: Anunsupervised differentiable approach,2019, In International Conference on Learning Representations
 Rule extraction from neural networks a compara-tive study,2012, International Conference on Pattern Recognition
 Learning to solve smt formulas,2018, In Advancesin Neural Information Processing Systems
 Inadequacy of computable loop invariants,2001, ACM Transactions onComputational Logic (TOCL)
 Z3: An efficient Smt solver,2008, In International conferenceon Tools and Algorithms for the Construction and Analysis of Systems
 Sat modulo ode: A direct sat approachto hybrid systems,2008, In International Symposium on Automated Technology for Verification andAnalysis
 Dl2: Training and querying neural networks with logic,2019, In International Conferenceon Machine Learning
 Deep learning,2016, MIT press
 An axiomatic basis for computer programming,1969, Communicationsof the ACM
 Multilayer feedforward networks are uni-versal approximators,1989, Neural networks
 An introduction to computationallearning theory,1994, MIT press
 A shortintroduction to probabilistic soft logic,2012, In Proceedings of the NIPS Workshop on ProbabilisticProgramming: Foundations and Applications
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Hyperkernel: Push-button verification of an os kernel,2017, In Proceedings of the26th Symposium on Operating Systems Principles
 Scalingsymbolic evaluation for automated verification of systems code with serval,2019, In Symposium onOperating Systems Principles
 Counterexample-guidedapproach to finding numerical invariants,2017, In Proceedings of the 2017 11th Joint Meeting onFoundations of Software Engineering
 Calcs:Smt solving for non-linear convex constraints,2010, In Formal Methods in Computer Aided Design
 Data-driven loop invariant inference with automatic featuresynthesis,2017, CoRR
 Data-driven precondition inference with learnedfeatures,2016, ACM SIGPLAN Notices
 Automatic differentiation inpytorch,2017, 2017
 Inductive logic programming via differentiable deep neural logicnetworks,2019, arXiv preprint arXiv:1906
 Learning a SAT solver from single-bit supervision,2019, In International Conference on LearningRepresentations
 From invariant checking to invariant inference using randomizedsearch,2016, Formal Methods in System Design
 Learning loop invariantsfor program verification,2018, In Advances in Neural Information Processing Systems
 Verdi: a framework for implementing and formally verifying distributedsystems,2015, ACM SIGPLAN Notices
