title,year,conference
 Infinite mixture prototypesfor few-shot learning,2019, CoRR
 Meta-learning by adjusting priors based on extended pac-bayes theory,2017, InICML
 A closer lookat few-shot classification,2019, ArXiv
 Few-shot semantic segmentation with prototype learning,2018, In BritishMachine Vision Conference (BMVC)
 Model-agnostic meta-learning for fast adaptation ofdeep networks,2017, In Doina Precup and Yee Whye Teh (eds
 Deep residual learning for imagerecognition,2016, In Proceedings of the IEEE conference on computer vision and pattern recognition(CVPR)
 Batch normalization: Accelerating deep network trainingby reducing internal covariate shift,2015, In Francis Bach and David Blei (eds
 Adam: A method for stochastic optimization,2014, InternationalConference on Learning Representations (ICLR)
 Human-level concept learn-ing through probabilistic program induction,2015, Science
 Closed-form training of mahalanobisdistance for supervised clustering,2016, In Proceedings of the IEEE Conference on Computer Visionand Pattern Recognition (CVPR)
 Di-mensionality reduction for representing the knowledge of probabilistic models,2019, In InternationalConference on Learning Representations (ICLR)
 Tadam: Task dependent adaptivemetric for improved few-shot learning,2018, In Advances in Neural Information Processing Systems(NeurIPS)
 Optimization as a model for few-shot learning,2017, In In InternationalConference on Learning Representations (ICLR)
 Meta-learning with latent embedding optimization,2019, CoRR
 Meta-learning with memory-augmented neural networks,2016, In Maria Florina Balcan and Kilian Q
 Prototypical networks for few-shot learning,2017, InAdvances in Neural Information Processing Systems (NIPS)
 Going deeper with convolutions,2015, In ComputerVision and Pattern Recognition (CVPR)
 Video face clustering with unknown number ofclusters,2019, In The IEEE International Conference on Computer Vision (ICCV)
 Meta-dataset: A dataset of datasets for learning to learn from few examples,2020, In International Conferenceon Learning Representations
 Measuring the vc-dimension of a learningmachine,1994, Neural Computation
 Match-ing networks for one shot learning,2016, In Proceedings of the 30th International Conference onNeural Information Processing Systems (NIPS)
 Generalizing from a few examples:A survey on few-shot learning,2019, 2019b
 Learning embedding adaptation for few-shotlearning,2018, CoRR
