title,year,conference
 Neural machine translation by jointlylearning to align and translate,2014, arXiv preprint arXiv:1409
 Structured prediction energy networks,2016, In InternationalConference on Machine Learning
 Distributed optimization of deeply nested systems,2014, InArtificial Intelligence and Statistics (AISTATS)
 Finding structure in time,1990, COGNITIVE SCIENCE
 Hierarchical neural story generation,2018, arXiv preprintarXiv:1805
 Maskgan: better text generation via filling inthe_,2018, arXivpreprint arXiv:180L07736
 Deep value networks learn to evaluateand iteratively refine structured outputs,2017, In Proceedings of the 33rd International Conference onInternational Conference on Machine Learning (ICML)
 Products of experts,1999, In Ninth International Conference on Artificial NeuralNetworks
 Learningto write with cooperative discriminators,2018, arXiv preprint arXiv:1805
 A graph-based approach to string regeneration,2014, In Proceedings ofthe Student Research Workshop at the 14th Conference of the European Chapter of the Associationfor Computational Linguistics
 Dailydialog: A manuallylabelled multi-turn dialogue dataset,2017, arXiv preprint arXiv:1710
 Tigs: An inference algorithm for text infillingwith gradient search,2019, arXiv preprint arXiv:1905
 Recurrentneural network based language model,2010, In Eleventh annual conference of the international speechcommunication association
 Numerical Optimization,2006, Springer
 Word ordering without syntax,2016, arXivpreprint arXiv:1604
 Trainingneural networks without gradients: A scalable admm approach,2016, In International conference onmachine learning
 Learning approximate inference networks for structured prediction,2018, InInternational Conference on Learning Representations (ICLR)
 Attention is all you need,2017, In Advances in neural informationprocessing systems
 Error bounds for convolutional codes and an asymptotically optimum decoding algo-rithm,1967, IEEE Transactions on Information Theory
 Cross-language documentsummarization via extraction and ranking of multiple summaries,2019, Knowledge and InformationSystems
 Admm for efficient deep learning withglobal convergence,2019, 2019
 Swag: A large-scale adversarialdataset for grounded commonsense inference,2018, arXiv preprint arXiv:1808
 Text infilling,2019, arXiv preprint arXiv:1901
