title,year,conference
 Learning transferable cooperative behavior inmulti-agent teams,2019, arXiv preprint arXiv:1906
 Social networksand cooperation in hunter-gatherers,2012, Nature
 Pointnet: Deep learning on point setsfor 3d classification and segmentation,2017, In CVPR
 Tarmac: Targeted multi-agent communication,2019, ICML
 ConVolutional networks on graPhs for learning molecularfingerprints,2015, In NeurIPS
 Cooperative multi-agent control usingdeep reinforcement learning,2017, In AAMAS
 Deep convolutional networks on graph-structureddata,2015, arXiv preprint arXiv:1506
 Vain: Attentional multi-agent predictive modeling,2017, In NeurIPS
 Densely connectedconvolutional networks,2017, In CVPR
 Social influence as intrinsic motivation for multi-agent deepreinforcement learning,2019, ICML
 Semi-supervised classification with graph convolutional net-works,2017, In ICLR
 Multi-agentactor-critic for mixed cooperative-competitive environments,2017, In NeurIPS
 Deep multi-agent reinforcement learning with relevance graphs,2018, arXiv preprintarXiv:1811
 Coordinated multi-robot explo-ration under communication constraints using decentralized markov decision processes,2012, In AAAI
 Learning convolutional neural net-works for graphs,2016, In ICML
 A simple rule for theevolution of cooperation on graphs and social networks,2006, Nature
 Value propagation fordecentralized networked deep multi-agent reinforcement learning,2019, In NeurIPS
 Learning multiagent communication with backpropaga-tion,2016, In NeurIPS
 Relational forward models for multi-agent learning,2019, In ICLR
 Multi-agent reinforcement learning: Independent vs,1993, cooperative agents
 Attention is all you need,2017, In NeurIPS
 Graph attention networks,2017, arXiv preprint arXiv:1710
 Visual interaction networks,2017, arXiv preprint arXiv:1706
 Multi-agent reinforcement learning for traffic light control,2000, In ICML
 Recurrentdeep multiagent q-learning for autonomous brokers in smart grid,2018, In IJCAI
 Mean field multi-agent reinforcement learning,2018, In ICML
 Relational deep reinforcementlearning,2018, arXiv preprint arXiv:1806
 Fully decentralized multi-agent reinforcement learning with networked agents,2018, In ICML
 Magent: Amany-agent reinforcement learning platform for artificial collective intelligence,2017, arXiv preprintarXiv:1712
