title,year,conference
 Building rome in a day,2011, Commun
 Interactive Intrinsic Video Editing,2014, ACM Transactions on Graphics (SIGGRAPH Asia2014)
 Intrinsic Decompositions forImage Editing,2017, Computer Graphics Forum (Eurographics State of the Art Reports 2017)
 Unstruc-tured lumigraph rendering,2001, In Proceedings of the 28th Annual Conference on Computer Graphicsand Interactive Techniques
 Free-viewpoint videoof human actors,0730, ACM Trans
 Depth synthesisand local warps for plausible image-based navigation,0730, ACM Trans
 Efficient view-dependent IBR with projectivetexture-mapping,1998, EG Rendering Workshop
 Montage4d:Interactive seamless fusion of multiview video textures,2018, In Proceedings of the ACM SIGGRAPHSymposium on Interactive 3D Graphics and Games
 Floating Textures,2008, Computer Graphics Forum (Proc
 A variational u-net for conditional appearanceand shape generation,2018, CoRR
 Deepstereo: Learning to predictnew views from the world’s imagery,2016, In The IEEE Conference on Computer Vision and PatternRecognition (CVPR)
 Multi-view Reconstruction ofHighly Specular Surfaces in Uncontrolled Environments,2015, In 3DV
 Multi-viewstereo for community photo collections,2007, In ICCV
 Generative adversarial nets,2014, 2014
 Deep blending for free-viewpoint image-based rendering,2018, ACM Transactions on Graphics(SIGGRAPH Asia Conference Proceedings)
 Reducing the dimensionality of data with neuralnetworks,0036, Science
 Image-to-image translation withconditional adversarial networks,2016, arxiv
 Image-to-image translation withconditional adversarial networks,2017, pp
 3d structure from 2d motion,1053, IEEE Signal ProcessingMagazine
 Learning-based view synthesisfor light field cameras,2016, ACM Transactions on Graphics (Proceedings of SIGGRAPH Asia 2016)
 Screened poisson surface reconstruction,0730, ACM Trans
 Deep Video Portraits,2018, ACM Transactions on Graphics 2018 (TOG)
 Adam: A method for stochastic optimization,2014, CoRR
 Auto-encoding variational bayes,2013, CoRR
 Live intrinsicvideo,2016, ACM Transactions on Graphics (Proceedings SIGGRAPH)
 Conditional generative adversarial nets,2014, arXiv:1411
 Real-time 3d reconstruction at scale usingvoxel hashing,2013, ACM Transactions on Graphics (TOG)
 Transformation-grounded image generation network for novel 3d view synthesis,2017, CoRR
 Soft 3d reconstruction for view synthesis,0730, ACM Trans
 Illumination for computer generated pictures,0001, Commun
 Unsupervised representation learning with deepconvolutional generative adversarial networks,2016, 2016
 U-net: Convolutional networks for biomed-ical image segmentation,2015, In Nassir Navab
 PixelwiseView Selection for Unstructured Multi-View Stereo,2016, In European Conference on Computer Vision(ECCV)
 Structure-from-motion revisited,2016, In 2016 IEEE Conference onComputer Vision and Pattern Recognition (CVPR)
 Deferred neural rendering: Image synthesisusing neural textures,0730, ACM Trans
 Bundle adjust-ment - a modern synthesis,2000, In Proceedings of the International Workshop on Vision Algorithms:Theory and Practice
 Layer-structured 3d scene inference via viewsynthesis,2018, In ECCV
 Efficient and robust specular highlight re-moval,2015, IEEE Trans
 Intrinsic video and ap-plications,0730, ACM Trans
 View synthesisby appearance flow,2016, In ECCV
 Stereo magnification:Learning view synthesis using multiplane images,0730, ACM Trans
 View extrapolation of human bodyfrom a single image,2018, CoRR
