title,year,conference
 Quantum algorithmsfor feedforward neural networks,2018, arXiv preprint arXiv:1812
 Efficient learning for deep quantum neural networks,2019, arXiv preprint arXiv:1902
 Visualbackprop: efficient visualization of cnns,2016, arXiv preprintarXiv:1611
 Quantum amplitude amplificationand estimation,2002, Contemporary Mathematics
 Quantum convolutional neural networks,2018, arXivpreprint arXiv:1810
 Classification with quantum neural networks on near term pro-cessors,2018, arXiv preprint arXiv:1802
 Deep learning for real-time gravitational wave detection and param-eter estimation: Results with advanced ligo data,2018, Physics Letters B
 Quantum recommendation systems,2017, Proceedings of the8th Innovations in Theoretical Computer Science Conference
 Quantum gradient descent for linear systems and leastsquares,2017, arXiv:1704
 q-means: Aquantum algorithm for unsupervised machine learning,2019, Neural Information Processing systems(NeurIPS)
 Continuous-variable quantum neural networks,2018, arXiv preprint arXiv:1806
 Imagenet classification with deep convo-lutional neural networks,2012, In Advances in neural information processing systems
 Gradient-based learning applied to documentrecognition,1998, Proceedings of the IEEE
 Quantum algorithms for supervised andunsupervised machine learning,2013, arXiv
 Automatic differentiation inpytorch,2017, 2017
 Quantum hopfieldneural network,2018, Physical Review A
 Masteringthe game of go with deep neural networks and tree search,2016, nature
 Very deep convolutional networks for large-scale imagerecognition,2014, arXiv preprint arXiv:1409
 Quantum Algorithms for Nearest-NeighborMethods for Supervised and Unsupervised Learning,2014, arXiv:1401
 Quantum deep learning,2014, arXiv preprintarXiv:1412
 Fashion-mnist: a novel image dataset for benchmark-ing machine learning algorithms,2017, arXiv preprint arXiv:1708
