title,year,conference
 Absolute pitch,1955, J
 Noisy sorting without resampling,2008, In Symp
 Learning to rank using gradient descent,2005, In ICML
 A ranking approach for human ages estima-tion based on face images,2010, In ICPR
 Ordinal hyperplanes ranker with cost sensi-tivities for age estimation,2011, In CVPR
 Using Ranking-CNN for ageestimation,2017, In CVPR
 Single-image depth perception in the wild,2016, InNIPS
 Elements of Information Theory,2006, Wiley
 ImageNet: A large-scalehierarchical image database,2009, In CVPR
 A simple approach to ordinal classification,2001, In ECML
 Deep ordinalregression network for monocular depth estimation,2018, In CVPR
 Learning from facial agingpatterns for automatic age estimation,2006, In ACM Multimedia
 Automatic age estimation based on facial agingpatterns,2007, IEEE Trans
 Simultaneous dimensionality reduction and human age estimationvia kernel partial least squares regression,2011, In CVPR
 A study on human age estimation under facial expressionchanges,2012, In CVPR
 Human age estimation using bio-inspired features,2009, In CVPR
 Introduction to Set Theory,1984, Marcel Dekker
 A deep analysison age estimation,2015, Pattern Recog
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Monocular depth estimation using relative depth maps,2019, In CVPR
 BridgeNet: A continuity-aware probabilistic network for age estimation,2019, In CVPR
 Learning to rank for information retrieval,2009, Foundations and Trends in InformatioonRetrieval
 Metric learning to rank,2010, In ICML
 Ordinal regression with multipleoutput CNN for age estimation,2016, In CVPR
 Mean-variance loss for deep age estimationfrom a face,2018, In CVPR
 Overview of researchon facial ageing using the FG-NET ageing database,2016, IET Biometrics
 Recognition of neonates by facial-visual characteristics,1984, Pediatrics
 MORPH: A longitudinal image database of normal adult age-progression,2006, In FGR
 Deep expectation of real and apparent age from asingle image without facial landmarks,2018, Int
 Deep regression forests forage estimation,2018, In CVPR
 Very deep convolutional networks for large-scale imagerecognition,2014, In ICLR
 Age estimation based on a singlenetwork with soft softmax of aging modeling,2016, In ACCV
 Efficient group-nencoding and decoding for facial age estimation,2018, IEEE Trans
 FRank: A rankingmethod with fidelity loss,2007, In SIGIR
 Efficient ranking from pairwise compar-isons,2013, In ICML
 Distance metric learning for large marginnearest neighbor classification,2006, In NIPS
 Distance metric learning withapplication to clustering with side-information,2003, In NIPS
 Age estimation by multi-scale convolutional network,2014, In ACCV
 Preliminary studies on a large face database,2018, In ICBD
 C3AE: Exploring the limits of compact modelfor age estimation,2019, In CVPR
 Quantifying facial age by posterior ofage comparisons,2017, In BMVC
