title,year,conference
 An application of rein-forcement learning to aerobatic helicopter flight,2006, In Bernhard SchOlkopf
 Motion perceptionin reinforcement learning with dynamic objects,2018, In CoRL
 Reinforcement learning in continuous time and space,2000, Neural Computation
 Reinforcement learning using acontinuous time actor-critic framework with spiking neurons,2013, PLoS computational biology
 Soft actor-critic algo-rithms and applications,2018, CoRR
 Qt-opt: Scal-able deep reinforcement learning for vision-based robotic manipulation,2018, CoRR
 Learning temporal pointprocesses via reinforcement learning,2018, In Proceedings of the 32Nd International Conference onNeural Information Processing Systems
 Playing atari with deep reinforcement learning,2013, 2013
 Human-level control through deep rein-forcement learning,0028, Nature
 Mastering the game of go withdeep neural networks and tree search,2016, Nature
 Reinforcement Learning: An Introduction,0262, The MITPress
 Deepmind control suite,2018, CoRR
 Reinforcement learning of motor skills inhigh dimensions: A path integral approach,2010, pp
 Spike-based reinforcement learning in continuous state and action space: When policy gradient methodsfail,2009, PLoS computational biology
 Planning and learning in envi-ronments with delayed feedback,2007, In Joost N
