title,year,conference
 In Proc,2015, ICLR 2015
 Generating seqUences with recUrrent neUral networks,2013, CoRR
 Solar wind propagation delay: Comment on minimUmvariance analysis-based propagation of the solar wind observations: Application to real-time globalmagnetohydrodynamic simUlations by A,2010, PUlkkinen and L
 StrUctUred attention networks,2017, InProc
 Using networktheory and machine learning to predict el nino,2018, Earth System Dynamics
 Modeling 3-d solar wind structure,2003, Advances in Space Research
 Distortion of the heliospheric plasma sheet by inter-planetary shocks,1996, Geophysical Research Letters
 Theretail market as a complex system,2014, EPJ Data Sci
 Elements ofCausal Inference - Foundationsand Learning Algorithms,2017, MIT Press
 Deep state space models for time series forecasting,2018, In NeurIPS 2018
 Forecasting the ambient solar wind with numerical models,2019, i
 Machine learning for spatiotemporal sequence forecasting: Asurvey,2018, ArXiv
 Sequence to sequence learning with neural networks,2014, InZ
 Attention is all you need,2017, In I
