title,year,conference
 Uncertainty in the variational information bottleneck,2018, InUncertainty in Deep Learning Workshop
 Imagenet: a large-scale hierarchicalimage database,2009, In IEEE Conf
 An introduction to ROC analysis,2005, Pattern Recognition Letters
 A baseline for detecting misclassified and out-of-distribution exam-ples in neural networks,2017, In Proc
 Deep anomaly detection with outlier exposure,2019, InProc
 Data Discovery and Anomaly Detection Using AtyPi-cality: Theory,2019, IEEE Trans
 Glow: generative flow with invertible 1x1 convolutions,2018, In S
 Learning multiple layers of features from tiny images,2009, MSc Thesis
 Human-level concept learning through probabilisticprogram induction,2015, Science
 Simple and scalable predictive uncertaintyestimation using deep ensembles,2017, In I
 The MNIST database of handwritten digits,2010, 2010
 A simple unified framework for detecting out-of-distributionsamples and adversarial attacks,2018, In S
 Enhancing the reliability of out-of-distribution image detection inneural networks,2018, In Proc
 Measures of complexity: a nonexhaustive list,2001, IEEE Control Systems Magazine
 Do deep generativemodels know what they don’t know? In Proc,2019, of the Int
 Detecting out-of-distributioninputs to deep generative models using a test for typicality,2019, ArXiv
 Reading digits in natural imageswith unsupervised feature learning,2011, NIPS Workshop on Deep Learning and Unsupervised FeatureLearning
 A data-driven approach to cleaning large face dataset,2014, In Proc
 Deep neural networks are easily fooled: high confidencepredictions for unrecognizable images,2015, In Proc
 Likelihood ratios for out-of-distribution detection,2019, In Advances in Neural InformationProcessing Systems (NeurIPS)
 Data discovery and anomaly detection using atypicality for real-valued data,2019, Entropy
 PixelCNN++: improving the PixelCNNwith discretized logistic mixture likelihood and other modifications,2017, In Proc
 The german traffic sign recognition benchmark:A multi-class classification competition,2011, In The 2011 International Joint Conference on NeuralNetworks
 Fashion-MNIST: a novel image dataset for benchmarkingmachine learning algorithms,2017, ArXiv
