title,year,conference
 Tensorlog: Deep learning meets probabilisticdbs,2017, CoRR
 Learning explanatory rules from noisy data,2018, JAIR
 Towards a numerical rule mining language,2014, AKBC
 Fast rule mining inontological knowledge bases with AMIE+,2015, In VLDB
 A three-way model for collective learningon multi-relational data,2011, In ICML
 Robust discovery of positive andnegative rules in knowledge bases,2018, In ICDE
 Rudik: Rule discovery in knowl-edge bases,2018, PVLDB
 Multi-relational data mining,2017, In Encyclopedia of Machine Learning and DataMining
 End-to-end differentiable proving,2017, In NeurIPS
 Knowledge graph embedding: A survey ofapproaches and applications,2017, IEEE Trans
 Differentiable learning of logical rules for knowl-edge base reasoning,2017, In NeurIPS
 Liang Wang,2019, Iteratively learning embeddings and rules forknowledge graph reasoning
