title,year,conference
 Microstimulation of inferotemporal cortexinfluences face categorization,2006, Nature
 Perceptual classification images from vernier acuity masked by noise,1996, Perception
 Neural population control via deep imagesynthesis,2019, Science
 RevolUtions in neUroscience: Tool develoPment,2016, Frontiers in systems neuroscience
 State-of-the-art in visUal attention modeling,2012, IEEE transactions on patternanalysis and machine intelligence
 The time coUrse of visUal information accrUalgUiding eye movement decisions,2004, Proceedings of the National Academy of Sciences
 What electrical microstimUlation has revealed aboUtthe neUral basis of cognition,2004, Current opinion in neurobiology
 SPatiotemPoral organization of simPle-cellrecePtive fields in the cat’s striate cortex,1993, ii
 Imagenet: A large-scale hi-erarchical image database,2009, In 2009 IEEE conference on computer vision and pattern recognition
 VisUalizing higher-layerfeatUres of a deeP network,2009, University of Montreal
 Using hUman brain activity to gUide machinelearning,2018, Scientific reports
 ExPlaining and harnessing adversarialexamPles,2014, arXiv preprint arXiv:1412
 VisUal noise from natUralscene statistics reveals hUman scene category rePresentations,2014, arXiv preprint arXiv:1411
 Matrix capsules with em routing,2018, In 6thinternational conference on learning representations
 Auto-encoding variational bayes,2013, arXiv preprintarXiv:1312
 Imagenet classification with deep convo-lutional neural networks,2012, In Advances in neural information processing systems
 Gradient-based learning appliedto document recognition,1998, Proceedings of the IEEE
 Brain neuromod-ulation techniques: a review,2016, The neuroscientist
 Inference of neuronal functionalcircuitry with spike-triggered non-negative matrix factorization,2017, Nature communications
 Deep neural networks are easily fooled: High confi-dence predictions for unrecognizable images,2015, In Proceedings of the IEEE conference on computervision and pattern recognition
 Understanding neural networks via feature visualiza-tion: A survey,2019, arXiv preprint arXiv:1904
 Specificity of monosynaptic connections from thalamus tovisual cortex,1995, Nature
 Deep inside convolutional networks: Vi-sualising image classification models and saliency maps,2013, arXiv PrePrint arXiv:1312
 Intriguing properties of neural networks,2013, arXiv PrePrint arXiv:1312
 Hoggles: Visualizingobject detection features,2013, In Proceedings of the IEEE International Conference on ComPuterVision
 Learning visual biases fromhuman imagination,2015, In Advances in neural information Processing systems
 The psychometric function: I,2001, fitting
 Fashion-mnist: a novel image dataset for benchmark-ing machine learning algorithms,2017, arXiv PrePrint arXiv:1708
 Visualizing and understanding convolutional networks,2014, InEuroPean conference on comPuter vision
