title,year,conference
 Unifiedrational protein engineering with sequence-only deep representation learning,2019, bioRxiv
 Generative modeling for protein structures,2018, In ICLR
 Potential energy functions for protein design,2007, Current opinion instructural biology
 De novo design of protein homo-oligomers with modular hydrogen-bond network-mediated specificity,2016, Science
 On contrastive divergence learning,2005, In Aistats
 The helmholtz machine,1995, Neuralcomputation
 Dominant forces in protein folding,1990, Biochemistry
 Implicit generation and generalization in energy-based models,2019, arXiv1903
14 a resolution: high-fidelity reducing activity in an indiscriminately oxidizingenvironment,2002, Structure
 Neural messagepassing for quantum chemistry,2017, In Doina Precup and Yee Whye Teh (eds
 Generative adversarial nets,2014, In Z
 Cooperative hydrogen bonding and enzyme catalysis,1998, Angewandte ChemieInternational Edition
 Fast and simple monte carlo algorithm for side chain optimization in proteins:application to model building by homology,1992, Proteins: Structure
 The coming of age of de novo protein design,2016, Nature
 Learning protein structure with adifferentiable simulator,2018, 2018
 Generative models for graph-basedprotein design,2019, 2019
 De novo computa-tional design of retro-aldol enzymes,2008, science
 Accurate design of co-assembling multi-component protein nanomaterials,2014, Nature
 Auto-encoding variational bayes,2013, arXiv preprint arXiv:1312
 Effective energy functions for protein structure prediction,2000, Currentopinion in structural biology
 Molecular geometry predictionusing a deep generative graph neural network,2019, arXiv preprint arXiv:1904
 Crystal and molecular structure of the serine proteinase inhibitor ci-2 frombarley seeds,1987, Biochemistry
 Molecular technology: designing proteins and peptides,1983, Nature
 Role of hydrogen bond networks and dynamics in positive andnegative cooperative stabilization of a protein,2005, Biochemistry
 Principles and patterns of protein conformation,1989, In Prediction ofprotein structure and the principles of protein conformation
 Biological structure and function emerge from scaling unsupervised learning to 250million protein sequences,2019, bioRxiv
 A smoothed backbone-dependent rotamer library forproteins derived from adaptive kernel density estimates and regressions,2011, Structure
 Order matters: Sequence to sequence for sets,2015, arXivpreprint arXiv:1511
 Machine-learning-guided directed evolution for proteinengineering,1548, Nature Methods
