title,year,conference
 Logical and relational learning,2008, Cognitive Technologies
 Symbolic querying of vector spaces: Probabilistic databasesmeets relational embeddings,2020, In UAI
 Introduction to statistical relational learning,2007, The MIT Press
 Jointly embedding knowledge graphsand logical rules,2016, In EMNLP
 Traversing knowledge graphs in vector space,2015, In EMNLP
 Embeddinglogical queries on knowledge graphs,2018, In NeurIPS
 Systematic integration ofbiomedical knowledge prioritizes drugs for repurposing,2017, bioRxiv
 Adam: A method for stochastic optimization,2015, In ICLR (Poster)
 Triangular norms,2004, position paper I: basicanalytical and algebraic properties
 Querying factorized probabilistic tripledatabases,2014, In International Semantic Web Conference (2)
 Canonical tensor decomposition forknowledge base completion,2018, In ICML
 Smoothing thegeometry of probabilistic box embeddings,2019, In ICLR
 WORDNET: a lexical database for english,1992, In HLT
 Adversarial setsfor regularising neural link predictors,2017, In UAI
 Never-ending learn-ing,2015, In AAAI
 A review of relationalmachine learning for knowledge graphs,2016, Proceedings of the IEEE
 End-to-end differentiable proving,2017, In NIPS
 Logic tensor networks: Deep learning and logicalreasoning from data and knowledge,2016, CoRR
 Observed versus latent features for knowledge base and textinference,2015, In Proceedings of the 3rd Workshop on Continuous Vector Space Models and theirCompositionality
 Deeppath: A reinforcement learning methodfor knowledge graph reasoning,2017, In EMNLP
 Embedding entities andrelations for learning and inference in knowledge bases,2015, In 3rd International Conference onLearning Representations
