title,year,conference
 Maximum a posteriori policy optimisation,2018, arXiv preprint arXiv:1806
 Robot programming bydemonstration,2008, Springer handbook of robotics
 End to end learning for self-driving cars,2016, CoRR
 Openai gym,2016, CoRR
 Goal conditioned imitationlearning,2019, In Advances in Neural Information Processing Systems
 Search on the replay buffer:Bridging planning and reinforcement learning,2019, arXiv preprint arXiv:1906
 Off-policy deep reinforcement learning withoutexploration,2018, arXiv preprint arXiv:1812
 Learning actionable representations with goalconditioned policies,2019, In International Conference on Learning Representations
 The cross-entropy method optimizes forquantiles,2013, In International Conference on Machine Learning
 Relay policy learn-ing: Solving long-horizon tasks via imitation and reinforcement learning,2019, CoRR
 Independent generative adversarial self-imitation learning in cooperative multiagent systems,2019, In AAMAS
 Imitation learning: Asurvey of learning methods,2017, ACM Computing Surveys (CSUR)
 Learning to achieve goals,1993, In International Joint Conference on ArtificialIntelligence (IJCAI)
 Stabilizing off-policy q-learning viabootstrapping error reduction,2019, CoRR
 Stabilizing off-policy q-learning viabootstrapping error reduction,2019, arXiv preprint arXiv:1906
 Learning latent plans from play,2019, arXiv preprint arXiv:1903
 Improving policy gradient by exploringunder-appreciated rewards,2016, arXiv preprint arXiv:1611
 Visualreinforcement learning with imagined goals,2018, In Advances in Neural Information ProcessingSystems
 Reward augmented maximum likelihood for neural structured prediction,2016, In Advances InNeural Information Processing Systems
 Self-imitation learning,2018, In InternationalConference on Machine Learning
 Alvinn: An autonomous land vehicle in a neural network,1989, In Advances in neuralinformation processing systems
 Temporal difference models: Model-free deep rl for model-based control,2018, arXiv preprint arXiv:1802
 Hindsight policygradients,2017, arXiv preprint arXiv:1711
 A reduction of imitation learning and structuredprediction to no-regret online learning,2011, In Geoffrey Gordon
 Semi-parametric topological memory fornavigation,2018, arXiv preprint arXiv:1803
 Proximal policyoptimization algorithms,2017, CoRR
 Analysis of temporal-diffference learning with functionapproximation,1997, In Advances in neural information processing systems
 Leveraging demonstrations for deepreinforcement learning on robotics problems with sparse rewards,2017, arXiv preprint arXiv:1707
