title,year,conference
 A method for learning from hints,1993, In Advances in Neural Information ProcessingSystems
 Fast and flexible monotonic functionswith ensembles of lattices,2016, In Advances in Neural Information Processing Systems
 Shapeconstraints for set functions,2019, In Proceedings of the 36th International Conference on MachineLearning
 Monotone and partially monotone neural networks,2010, IEEE TransactionsOnNeuralNetworks
 Fast approximate natural gradientdescent in a kronecker factored eigenbasis,2018, In Advances in Neural Information Processing Systems
 Diminishing returns shape constraints for inter-pretability and regularization,2018, In Advances in Neural Information Processing Systems
 Kronecker recurrent units,2018, In Proceedings of the 35th InternationalConference on Machine Learning
 Large-scale distributedsecond-order optimization using kronecker-factored approximate curvature for deep convolutionalneural networks,2019, In IEEE Conference on Computer Vision and Pattern Recognition
 Introduction to tensor decompositions and theirapplications in machine learning,2017, ArXiv
 Monotonic networks,1997, In Advances in Neural Information Processing Systems
 Deep lattice networks and partial monotonicfunctions,2017, In Advances in Neural Information Processing Systems
 Fast orthogonal projection based onkronecker product,2015, In International Conference on Computer Vision
