title,year,conference
 Concrete autoencoders: Differentiablefeature selection and reconstruction,2019, In International Conference on Machine Learning
 Once-for-all: Train onenetwork and specialize it for efficient deployment,2020, In International Conference on LearningRepresentations
 Hierarchical multiscale recurrent neural net-works,2017, In 5th International Conference on Learning Representations
 Long short-term memory,1997, Neural computation
 Deep probabilistic subsamplingfor task-adaptive compressed sensing,2019, In International Conference on Learning Representations
 Variable computation in re-current neural networks,2017, In International Conference on Learning Representations
 A clockwork RNN,2014, InInternational Conference on Machine Learning
 Flexible recurrent neural networks,2020, InMachine Learning and Knowledge Discovery in Databases
 A simple way to initialize recurrent networksof rectified linear units,2015, arXiv preprint arXiv:1504
 Gradient-based learning applied to document recog-nition,1998, Proceedings of the IEEE
 Constructing long short-term memory based deep recurrent neuralnetworks for large vocabulary speech recognition,2015, In 2015 IEEE International Conference onAcoustics
 Recognizing video events with varying rhythms,2020, arXivpreprint arXiv:2001
 Berkeley MHAD: A comprehensivemultimodal human action database,2013, In 2013 IEEE Workshop on Applications of Computer Vision(WACV)
 Glove: Global vectors for wordrepresentation,2014, In Empirical Methods in Natural Language Processing (EMNLP)
 Long short-term memory based recur-rent neural network architectures for large vocabulary speech recognition,2014, CoRR
 Neural speed reading viaskim-RNN,2018, In International Conference on Learning Representations
 Attention-based end-to-end models forsmall-footprint keyword spotting,2018, In Proc
 Dynamic frame skipping for fastspeech recognition in recurrent neural network based acoustic models,2018, In 2018 IEEE InternationalConference on Acoustics
 Skipping rnn state updates without re-training the original model,2019, In Proceedings of the 1st Workshop on Machine Learning on Edge inSensor Systems
 Show and tell: A neuralimage caption generator,2015, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition
 Simple statistical gradient-following algorithms for connectionist reinforce-ment learning,0885, Mach
 Learning representations byback-propagating errors,1986, In Nature 1986
 Machine learning at facebook: Understand-ing inference at the edge,2019, In 2019 IEEE International Symposium on High Performance ComputerArchitecture (HPCA)
 End-to-end learning of action detec-tion from frame glimpses in videos,2016, In Proceedings of the IEEE Conference on Computer Visionand Pattern Recognition
 Slimmable neural networks,2019, InInternational Conference on Learning Representations
 Trainable dynamic sub-sampling for end-to-end speech recognition,2019, Proc
 Shufflenet: An extremely efficientconvolutional neural network for mobile devices,2018, In Proceedings of the IEEE Conference onComputer Vision and Pattern Recognition
 Hello edge: Keyword spottingon microcontrollers,2017, CoRR
