title,year,conference
 Semi-supervisedlearning for neural machine translation,2016, In ACL
 Better hypothesis testing for statisticalmachine translation: Controlling for optimizer instability,2011, In ACL
 Understanding back-translation atscale,2018, In EMNLP
 Model-agnostic meta-learning for fast adaptation ofdeep networks,2017, In ICML
 On using monolingual corpora in neural machinetranslation,2015, arXiv preprint arXiv:1503
 Revisiting self-training for neuralsequence generation,2020, In ICLR
 Iterative back-translationfor neural machine translation,2018, In ACL
 Adam: A method for stochastic optimization,2015, In ICLR
 Sentencepiece: A simple and language independent subwordtokenizer and detokenizer for neural text processing,2018, In EMNLP
 Gshard: Scaling giant models with conditionalcomputation and automatic sharding,2020, Arxiv 2006
 Choosing transfer languages for cross-lingual learning,2019, In ACL
 DARTS: differentiable architecture search,2019, 2019
 compare-mt: Atool for holistic comparison of language generation systems,2002, In NAACL
 Meta pseudo labels,2020, Arxiv 2003
 Improving neural machine translation modelswith monolingual data,2016, In ACL
 Mass: Masked sequence to sequencepre-training for language generation,2019, arXiv preprint arXiv:1905
 Generativeteaching networks: Accelerating neural architecture search by learning to generate synthetictraining data,2019, In arxiv
 Attention is all you need,2017, In Advances in Neural InformationProcessing Systems
 Target conditioned sampling: Optimizing data selection formultilingual neural machine translation,2019, In ACL
 Multilingual neural machine translationwith soft decoupled encoding,2019, In ICLR
 Optimizing data usage via differentiable rewards,2019, In arxiv
 Balancing training for multilingual neural machinetranslation,2020, In ACL
 Simple statistical gradient-following algorithms for connectionist reinforcementlearning,1992, Machine Learning
 Dual learningfor machine translation,2016, In Advances in Neural Information Processing Systems
