title,year,conference
 Evaluation of output embeddings forfine-grained image classification,2015, In CVPR
 Multi-cue zero-shot learning with strongsupervision,2016, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 Label-embedding for image classifica-tion,2016, PAMI
 Layer normalization,2016, arXiv preprint arXiv:1607
 Inside-outside net: Detecting objects in contextwith skip pooling and recurrent neural networks,2016, In Proceedings of the IEEE Conference on Computer Visionand Pattern Recognition (CVPR)
 A survey on metric learning for feature vectors andstructured data,2013, arXiv preprint arXiv:1306
 Predicting visual exemplars of unseen classes for zero-shotlearning,2017, In The IEEE International Conference on Computer Vision (ICCV)
 An empirical study and analysis of generalizedzero-shot learning for object recognition in the wild,2016, In ECCV (2)
 Efficient lifelonglearning with a-GEM,2019, In International Conference on Learning Representations
 A simple framework for contrastivelearning of visual representations,2020, In Hal DaumC III and Aarti Singh (eds
 Creativity inspired zero-shot learning,2019, In The IEEE InternationalConference on Computer Vision (ICCV)
 Write a classifier: Zero-shot learning using purelytextual descriptions,2013, In The IEEE International Conference on Computer Vision (ICCV)
 Exploring the challenges towards lifelong fact learning,2018, CoRR
 Describing objects by their attributes,2009, In CVPR2009
 Multi-modal cycle-consistent generalizedzero-shot learning,2018, In The European Conference on Computer Vision (ECCV)
 Devise: A deep visual-semantic embedding model,2013, In C
 Weakly supervised complementary parts models for fine-grainedimage classification from the bottom up,2019, In The IEEE Conference on Computer Vision and Pattern Recognition(CVPR)
 Dynamic feW-shot visual learning Without forgetting,2018, In Proceedings ofthe IEEE Conference on Computer Vision and Pattern Recognition
 Generative adversarial nets,2014, In Advances in neural information processingsystems
 Zero-shot learning With transferred samples,2017, IEEE Transactions on ImageProcessing
 Delving deep into rectifiers: Surpassing human-level performance onimagenet classification,2015, In 2015 IEEE International Conference on Computer Vision (ICCV)
 Flat minima,1997, Neural Computation
 Provable benefit of orthogonal initialization in optimizingdeep linear netWorks,2020, In International Conference on Learning Representations
 Batch normalization: Accelerating deep netWork training by reducinginternal covariate shift,2015, In Francis Bach and David Blei (eds
 Using task features for zero-shot knoWledge transfer inlifelong learning,2016, In International Joint Conferences on Artificial Intelligence
 Caffe: Convolutional architecture for fast feature embedding,2014, arXiv preprintarXiv:1408
 Onlarge-batch training for deep learning: Generalization gap and sharp minima,2016, arXiv preprint arXiv:1609
 Auto-encoding variational bayes,2014, stat
 Overcoming catastrophicforgetting in neural networks,2017, Proceedings of the national academy ofsciences
 Data-dependent initializations of ConvolU-tional neural networks,2015, arXiv preprint arXiv:1511
 Generalized zero-shot learning viasynthesized examPles,2018, In Proceedings of the IEEE conference on computer vision and pattern recognition
 Attribute-based classification for zero-shotvisual object categorization,2013, IEEE transactions on pattern analysis and machine intelligence
 Attribute-based classification for zero-shotvisual object categorization,2013, IEEE transactions on pattern analysis and machine intelligence
 Predicting deeP zero-shot convolutional neural networksusing textual descriPtions,2015, In ICCV
 Rethinking zero-shot learning: A conditional visual classificationPersPective,2019, In The IEEE International Conference on Computer Vision (ICCV)
 Generalized zero-shotlearning with deeP calibration network,2018, In S
 Gradient ePisodic memory for continual learning,2017, In I
 Cosine normalization: Usingcosine similarity instead of dot Product in neural networks,2018, In International Conference on Artificial NeuralNetworks
 Latent embeddingfeedback and discriminative features for zero-shot classification,2020, arXiv preprint arXiv:2003
 Dual adversarial semantics-consistent network for generalizedzero-shot learning,2019, In H
 Zero-shot learning by convex combination of semantic embeddings,2013, arXivpreprint arXiv:1312
 An embarrassingly simPle aPProach to zero-shot learning,2015, InFrancis Bach and David Blei (eds
 How does batchnormalization help optimization? In S,2018, Bengio
 Loss landscape sightseeing with multi-point optimization,2019, CoRR
 Improved deep metric learning with multi-class n-pair loss objective,2016, In Proceedings of the 30thInternational Conference on Neural Information Processing Systems
 Learning tocompare: Relation network for few-shot learning,2018, In Proceedings of the IEEE Conference on ComputerVision and Pattern Recognition
 Three scenarios for continual learning,2019, CoRR
 Meta-learning for generalized zero-shot learning,2020, InAAAI
 Leveraging seen and unseen semanticrelationships for generative zero-shot learning,2020, In European Conference on Computer Vision (ECCV)
 Lifelong zero-shot learning,2020, In Christian Bessiere (ed
 Lifelong zero-shot learning,2020, In IJCAI
 Group normalization,2018, In The European Conference on Computer Vision (ECCV)
 Feature generating networks for zero-shotlearning,2018, In The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)
 Zero-shot learning via simultaneous generating and learning,2019, In H
 Cross-modal contrastive learning fortext-to-image generation,2021, arXiv preprint arXiv:2101
 Learning a deep embedding model for zero-shot learning,2016, In CVPR
 Learning a deep embedding model for zero-shot learning,2017, In TheIEEE Conference on Computer Vision and Pattern Recognition (CVPR)
 A generative adversarialapproach for zero-shot learning from noisy texts,2018, In The IEEE Conference on Computer Vision and PatternRecognition (CVPR)
 Semantic-guided multi-attention localization for zero-shot learning,2019, In H
