title,year,conference
 Scaling graph neural networks withapproximate PageRank,2020, In International Conference on Knowledge Discovery and Data Mining
 Cluster kernels for semi-supervised learn-ing,2003, In Advances in Neural Information Processing Systems
 Spectral clustering of graphs with generaldegrees in the extended planted partition model,2012, In The Conference on Learning Theory
 Simple and deep graphconvolutional networks,2020, In International Conference on Machine Learning
 Decoupled smoothing ongraphs,2019, In The Web Conference
 Fast graph representation learning with pytorch geometric,2019, InICLR Workshop Representation Learning on Graphs and Manifolds
 SIGN: Scalable inception graph neural networks,2020, In ICML Workshop on GraphRepresentation Learning and Beyond
 Conditional random field enhanced graph convolutionalneural networks,2019, In The 25th ACM SIGKDD International Conference on Knowledge Discoveryand Data Mining
 Learning probabilistic models ofrelational structure,2001, In International Conference on Machine Learning
 Using local spectral methods to robustify graph-basedlearning algorithms,2015, In International Conference on Knowledge Discovery and Data Mining
 Representation learning on graphs: Methodsand applications,2017, IEEE Data Engineering Bulletin
 It’s who you know: graph mining using recursive structural features,2011, InInternational Conference on Knowledge Discovery and Data Mining
 Nonlinear diffusion for community detection and semi-supervisedlearning,2019, In The Web Conference
 Residual correlation in graph neural network regression,2020, In ICMLWorkshop on Graph Representation Learning and Beyond workshop
 Semi-supervised classification with graph convolutional net-works,2017, In International Conference on Learning Representations
 Predict then propagate:Graph neural networks meet personalized pagerank,2018, In International Conference on LearningRepresentations
 Unifying guilt-by-association approaches: Theorems and fast algorithms,2011, In JointEuropean Conference on Machine Learning and Knowledge Discovery in Databases
 Graph evolution: Densification and shrinkingdiameters,2007, ACM Transactions on Knowledge Discovery from Data
 Birds ofa feather: Homophily in socialnetworks,2001, Annual Review of Sociology
 Wiki-CS: A wikipedia-based benchmark for graph neuralnetworks,2020, In ICML Workshop on Graph Representation Learning and Beyond
 Query-driven active surveying forcollective classification,2012, In International Workshop on Mining and Learning with Graphs
 Mixing patterns in networks,2003, Physical Review E
 Graph-based semi-supervised learning for relational networks,2017, In SIAM InternationalConference on Data Mining
 GMNN: Graph markov neural networks,2019, In InternationalConference on Machine Learning
 Near linear time algorithm to detectcommunity structures in large-scale networks,2007, Physical Review E
 Advanced data analysis from an elementary point of view,2013, Cambridge UniversityPress
 Masked label prediction: Unified mas-sage passing model for semi-supervised classification,2020, arXiv:2009
 Nonlinear higher-order labelspreading,2021, In The Web Conference
 Graph Attention Networks,2018, In International Conference on Learning Representations
 Unifying graph convolUtional neUral networks and label propa-gation,2020, arXiv:2002
 Simpli-fying graph convolUtional networks,2019, In International Conference on Machine Learning
 Learn-ing with local and global consistency,2004, In Advances in Neural Information Processing Systems
 Semi-supervised learning using gaussian fieldsand harmonic functions,2003, In International Conference on Machine Learning
 Semi-supervised learning literature survey,2005, Technical report
