title,year,conference
 Social lstm: Human trajectory prediction in crowded spaces,2016, In Proceedings of theIEEE conference on computer vision and pattern recognition
 Data augmentation generative adversarialnetworks,2017, arXiv preprint arXiv:1711
 nuscenes: A multimodal dataset forautonomous driving,2019, arXiv preprint arXiv:1903
 nuscenes: A multimodal dataset forautonomous driving,2019, arXiv preprint arXiv:1903
 Spatially-aware graph neural networksfor relational behavior forecasting from sensor data,2019, arXiv preprint arXiv:1910
 Multipath: Multiple prob-abilistic anchor trajectory hypotheses for behavior prediction,2019, arXiv preprint arXiv:1910
 Autoaugment:Learning augmentation strategies from data,2019, In Proceedings of the IEEE conference on computervision and pattern recognition
 Multimodal trajectory predictions for au-tonomous driving using deep convolutional networks,2018, CoRR
 Multi-modal trajectory prediction of surrounding vehicles withmaneuver based lstms,2018, In 2018 IEEE Intelligent Vehicles Symposium (IV)
 Creativity inspired zero-shot learning,2019, In Proceedingsof the IEEE International Conference on Computer Vision
 Generative adversarial nets,2014, In NIPS
 Social gan: So-cially acceptable trajectories with generative adversarial networks,2018, In Proceedings of the IEEEConference on Computer Vision and Pattern Recognition
 Low-shot visual recognition by shrinking and hallucinatingfeatures,2017, In Proceedings of the IEEE International Conference on Computer Vision
 Population based augmentation:Efficient learning of augmentation policy schedules,2019, In International Conference on MachineLearning
 Diversity-aware vehicle motion prediction via latent semanticsampling,2019, ArXiv
 The trajectron: Probabilistic multi-agent trajectory modelingwith dynamic spatiotemporal graphs,2019, In Proceedings of the IEEE International Conference onComputer Vision
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Social-bigat: Multimodal trajectory forecasting using bicycle-gan and graphattention networks,2019, arXiv preprint arXiv:1907
 Learn-ing an image-based motion context for multiple people tracking,2014, In Proceedings of the IEEEConference on Computer Vision and Pattern Recognition
 Learning an image-basedmotion context for multiple people tracking,2014, IEEE Conference on Computer Vision and PatternRecognition (CVPR)
 DESIRE: distant future prediction in dynamic scenes with interacting agents,2017, In 2017IEEE Conference on Computer Vision and Pattern Recognition
 On feature nor-malization and data augmentation,2020, ArXiv
 Feature space transferfor data augmentation,2018, In Proceedings of the IEEE conference on computer vision and patternrecognition
 The clockwork muse: The predictability of artistic change,1990, Basic Books
 Multi-modal simultaneous forecasting of vehicle position sequences usingsocial attention,2019, arXiv preprint arXiv:1910
 Style transfer-based image synthesis as an efficientregularization technique in deep learning,2019, In 2019 24th International Conference on Methods andModels in Automation and Robotics (MMAR)
 Spectral normalizationfor generative adversarial networks,2018, arXiv preprint arXiv:1802
 You’ll never walk alone:Modeling social behavior for multi-target tracking,2009, In 2009 IEEE 12th International Conferenceon Computer Vision
 Unsupervised representation learning with deepconvolutional generative adversarial networks,2015, arXiv preprint arXiv:1511
 Learn-ing to compose domain-specific transformations for data augmentation,2017, In Advances in neuralinformation processing systems
 Precog: Prediction condi-tioned on goals in visual multi-agent settings,2019, In The IEEE International Conference on ComputerVision (ICCV)
 Scene compliant trajectory forecastwith agent-centric spatio-temporal grids,2020, IEEE Robotics and Automation Letters
 Car-net: Clairvoyant attentive recurrent network,2018, In Proceedings of the EuropeanConference on Computer Vision (ECCV)
 Sophie: An attentive gan for predicting paths compliant to social and physical con-straints,2019, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 Trajectron++: Multi-agent generative trajectory forecasting with heterogeneous data for control,2020, 2020
 Design:Design inspiration from generative networks,2018, In ECCV workshop
 Social attention: Modeling attention in humancrowds,2018, In 2018 IEEE international Conference on Robotics and Automation (ICRA)
 Improving movement predictions of traffic actors in bird’s-eye view models using gansand differentiable trajectory rasterization,2020, arXiv preprint arXiv:2004
 Implicit semanticdata augmentation for deep networks,2019, In Advances in Neural Information Processing Systems
 Agile robot navigation through hallucinated learning andsober deployment,2020, arXiv preprint arXiv:2010
 Toward agile maneuvers in highly constrainedspaces: Learning from hallucination,2020, arXiv preprint arXiv:2007
 Few-shot learning via saliency-guided hallu-cination of samples,2019, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition
 mixup: Beyond empiricalrisk minimization,2017, arXiv preprint arXiv:1710
 Weforce the model to predict trajectory for all behaviors no matter the behaviors are possible judgedby the model or not,2020, White points denote the ground truth trajectories
