title,year,conference
 Mixmatch: A holistic approach to semi-supervised learning,2019, In Advances in NeuralInformation Processing Systems
 Exploration by random networkdistillation,2019, In International Conference on Learning Representations
 Domaingeneralization by solving jigsaw puzzles,2019, In Proceedings of the IEEE Conference on ComputerVision and Pattern Recognition
 Neural network recognizer for hand-written zip code digits,1989, In Advances in neural information processing systems
 Weight agnostic neural networks,2019, In Advances in Neural InformationProcessing Systems
 Unsupervised domain adaptation by backpropagation,2014, arXivpreprint arXiv:1409
 Scatter componentanalysis: A unified framework for domain adaptation and domain generalization,2016, IEEE transactionson pattern analysis and machine intelligence
 In search of lost domain generalization,2020, arXiv preprintarXiv:2007
 Delving deep into rectifiers: Surpassinghuman-level performance on imagenet classification,2015, In Proceedings of the IEEE internationalconference on computer vision
 Deep residual learning for imagerecognition,2016, In Proceedings of the IEEE conference on computer vision and pattern recognition
 The many faces of robustness: A criticalanalysis of out-of-distribution generalization,2020, arXiv preprint arXiv:2006
 Augmix: A simple method to improve robustness and uncertainty underdata shift,2020, In International Conference on Learning Representations
 Gradient-based learning applied todocument recognition,1998, Proceedings of the IEEE
 Network randomization: A simple techniquefor generalization in deep reinforcement learning,2020, In International Conference on LearningRepresentations
 Domain generalization with adver-sarial feature learning,2018, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition
 Taking a closer look at domain shift:Category-level adversaries for semantics consistent domain adaptation,2019, In Proceedings of the IEEEConference on Computer Vision and Pattern Recognition
 Mnist-c: A robustness benchmark for computer vision,2019, arXiv preprintarXiv:1906
 Readingdigits in natural images with unsupervised feature learning,2011, NIPS Workshop on Deep Learningand Unsupervised Feature Learning
 Randomized prior functions for deep reinforcementlearning,2018, In Advances in Neural Information Processing Systems
 Domain agnostic learning withdisentangled representations,2019, In ICML
 Learning to learn single domain generalization,2020, arXivpreprint arXiv:2003
 Multi-adversarial discriminative deep domaingeneralization for face presentation attack detection,2019, In Proceedings of the IEEE Conference onComputer Vision and Pattern Recognition
 Situationalfusion of visual representation for visual navigation,2019, In Proceedings of the IEEE InternationalConference on Computer Vision
 Informativedropout for robust representation learning: A shape-bias perspective,2020, In International Conferenceon Machine Learning
 Best practices for convolutional neuralnetworks applied to visual document analysis,2003, In Icdar
 From virtual to reality: Fast adaptation of virtual object detectors toreal domains,2014, In Proceedings of the British Machine Vision Conference
 Training robust models using random projection,2016, In 2016 23rdInternational Conference on Pattern Recognition (ICPR)
 Generalizing to unseen domains via adversarial data augmentation,2018, In Advances inNeural Information Processing Systems
 Learning robust representations by projecting superficialstatistics out,2019, In International Conference on Learning Representations
 No training required: Exploring random encoders for sentenceclassification,2019, In International Conference on Learning Representations
 Domain randomization and pyramid consistency: Simulation-to-real generalization withoutaccessing target domain data,2019, In Proceedings of the IEEE International Conference on ComputerVision
