title,year,conference
 Neural machine translation by jointlylearning to align and translate,2015, In International Conference on Learning Representations (ICLR)
 Learning causalstructures using regression invariance,2017, In Advances in Neural Information Processing Systems(NeurIPS)
 Breaking nli systems with sentences that requiresimple lexical inferences,2018, In Association for Computational Linguistics (ACL)
 FrameWise phoneme classification with bidirectional lstmand other neural network architectures,2005, Neural networks
 Toward controlledgeneration of text,2017, In International Conference on Machine Learning (ICML)
 Adam: A method for stochastic optimization,2015, In InternationalConference on Learning Representations (ICLR)
 A structured self-attentive sentence embedding,2017, International Conference onLearning Representations (ICLR)
 Gender bias inneural natural language processing,2018, arXiv preprint arXiv:1807
 Politeness transfer: A tag andgenerate approach,2020, arXiv preprint arXiv:2004
 It’s all in the name:Mitigating gender bias with name-based counterfactual data substitution,2019, arXiv preprintarXiv:1909
 Dissecting racial biasin an algorithm used to manage the health of populations,2019, Science
 Bayesian netwcrks: A model cf self-activated memory for evidential reasoning,1985, InProceedings of the 7th Conference of the Cognitive Science Society
 Learning with feature feedback: from theory to Practice,2017, InArtificial Intelligence and Statistics (AISTATS)
 Datasetshift in machine learning,2009, The MIT Press
 Semantically equivalent adversarial rulesfor debugging nlP models,2018, In Association for Computational Linguistics (ACL)
 On causal and anticausallearning,2012, In 29th International Conference on Machine Learning (ICML 2012)
 Darling or babygirl?investigating stylistic bias in sentiment analysis,2018, 5th Workshop on Fairness
 Robustness to spurious correlations viahuman annotations,2020, International Conference on Machine Learning (ICML)
 Machine Learning in Non-Stationary Environments:Introduction to Covariate Shift Adaptation,2012, MIT Press
 Intriguing Properties of Neural Networks,2014, In International Conference onLearning Representations (ICLR)
 Learning what makes a differencefrom counterfactual examples and gradient supervision,2020, arXiv preprint arXiv:2004
 Universal adversarialtriggers for nlp,2019, arXiv preprint arXiv:1908
 Distributional robustness as a guiding principle for causalityin cognitive neuroscience,2020, arXiv preprint arXiv:2002
 HUggingface's transformers:State-of-the-art natural language processing,2019, ArXiv
 The method of path coefficients,1934, The annals of mathematical statistics
 Modeling annotators: A generative approach to learning fromannotator rationales,2008, In Empirical Methods in Natural Language Processing (EMNLP)
 Counterfactual data aug-mentation for mitigating gender stereotypes in languages with rich morphology,2019, In Associationfor Computational Linguistics (ACL)
