title,year,conference
 The Perception-Distortion Tradeoff,2018, In Proceedings of the IEEEConference on Computer Vision and Pattern Recognition
 NICE: Non-linear Independent ComponentsEstimation,2014, arXiv preprint arXiv:1410
 High-dimensional Bayesian Inference Via the UnadjustedLangevin Algorithm,2019, Bernoulli
 EMCEE: TheMCMC Hammer,2013, Publications of the Astronomical Society of the Pacific
 Variational Autoencoder with Arbitrary Condi-tioning,2018, arXiv preprint arXiv:1806
 Learning Multiple Layers of Features from Tiny Images,2009, 2009
 Gradient-based Learning Appliedto Document Recognition,1998, Proceedings of the IEEE
 MisGAN: Learning from Incomplete Datawith Generative Adversarial Networks,2018, In International Conference on Learning Representations
 Structured Output Learning with Conditional Generative Flows,2020, In AAAI
 Leveraging the Exact Likelihood of Deep Latent VariableModels,2018, In Advances in Neural Information Processing Systems
 MIWAE: Deep Generative Modelling and Imputation ofIncomplete Data Sets,2019, In International Conference on Machine Learning
 Neural Im-portance Sampling,2019, ACM Transactions on Graphics (TOG)
 Stochastic Backpropagation andApproximate Inference in Deep Generative Models,2014, In International Conference on MachineLearning
 MissForest-Non-parametric Missing Value Imputationfor Mixed-type Data,2012, Bioinformatics
 On the Convergence of theMetropolis-Hastings Markov Chains,2013, arXiv preprint arXiv:1302
 Marginal Markov Chain Monte Carlo Methods,2010, Statistica Sinica
 GAIN: Missing Data Imputation usingGenerative Adversarial Nets,2018, arXiv preprint arXiv:1806
 Sample Adaptive MCMC,2019, In Advances in Neural Information Processing Systems
 As demonstrated by Hoffman et al,2019, (2019)
