title,year,conference
 Unsupervised state representation learning in atari,2019, In Advances in Neural Information9Published as a conference paper at ICLR 2021Processing Systems 32: Annual Conference on Neural Information Processing Systems 2019
 Dota 2 with large scale deep reinforcementlearning,2019, arXiv preprint arXiv: 1912
 Transfer from simulation to real world through learningdeep inverse dynamics model,2016, arXiv preprint arXiv: 1610
 Off-policy deep reinforcement learning withoutexploration,2019, In Kamalika Chaudhuri and Ruslan Salakhutdinov (eds
 Learning to reach goals via iterated supervised learning,2020, arXiv preprint arXiv:1912
 Recurrent world models facilitate policy evolution,2018, In SamyBengio
 Learning latent dynamics for planning from pixels,2019, In Proceedings of the 36thInternational Conference on Machine Learning
 Long short-term memory,1997, Neural computation
 The curious case of neural textdegeneration,2020, In 8th International Conference on Learning Representations
 Model based reinforcement learning foratari,2020, In 8th International Conference on Learning Representations
 Auto-encoding variational bayes,2014, In Yoshua Bengio and YannLeCun (eds
 Visual re-inforcement learning with imagined goals,2018, In Samy Bengio
 Curiosity-driven explorationby self-supervised prediction,2017, In Doina Precup and Yee Whye Teh (eds
 RIDM: reinforcedinverse dynamics modeling for learning from a single observed demonstration,2019, arXiv preprintarXiv: 1906
 Causally correct partial models for reinforcement learn-ing,2020, arXiv preprint arXiv: 2002
 Robust constrained model predictive control,2005, PhD thesis
 Reinforcement learning upside down: Don’t predict rewards - just map themto actions,2019, arXiv preprint arXiv: 1912
 Mastering chess and shogi by self-play with a general reinforce-ment learning algorithm,2017, arXiv preprint arXiv: 1712
 Thepredictron: End-to-end learning and planning,2017, In Doina Precup and Yee Whye Teh (eds
 Training agents Using Upside-down reinforcement learning,2019, arXiv preprint arXiv:1912
 rlpyt: A research code base for deep reinforcement learning inpytorch,2019, arXiv preprint arXiv: 1909
 Deepmind control suite,2018, arXiv preprint arXiv: 1801
 Building machines that learn and think like people,2018, In Elisabeth Andre
 Benchmarking model-based reinforce-ment learning,2019, arXiv preprint arXiv: 1907
 Unsupervised control through non-parametric discriminative rewards,2019, In 7thInternational Conference on Learning Representations
