title,year,conference
 Bagging classi-fiers for fighting poisoning attacks in adversarial classification tasks,2011, In International workshopon multiple classifier systems
 Poisoning attacks against support vector ma-chines,2012, In Proceedings of the 29th International Coference on International Conference onMachine Learning
 Random smoothing might be unableto certify '∞ robustness for high-dimensional images,2020, arXiv preprint arXiv:2002
 Bagging predictors,1996, Machine learning
 Pac learning with nasty noise,0304, 288(2)
 Observations on bagging,2006, Statistica Sinica
 A simple frameworkfor contrastive learning of visual representations,2020, ArXiv
 Targeted backdoor attacks on deeplearning systems using data poisoning,2017, arXiv preprint arXiv:1712
 Certified adversarial robustness via randomizedsmoothing,2019, In International Conference on Machine Learning
 Sever: Arobust meta-algorithm for stochastic optimization,2019, In ICML
 Unsupervised representation learning bypredicting image rotations,2018, In International Conference on Learning Representations
 On the effectiveness of interval bound propagation fortraining verifiably robust models,2018, arXiv preprint arXiv:1810
 Supervised contrastive learning,2020, arXiv preprintarXiv:2004
 Agnostic estimation of mean and covariance,2016, In 2016 IEEE57th Annual Symposium on Foundations of Computer Science (FOCS)
 Certified robustness to adversarialexamples with differential privacy,2019, In 2019 2019 IEEE Symposium on Security and Privacy (SP)
 Tight certificates of adversarialrobustness for randomly smoothed classifiers,2019, In Advances in Neural Information ProcessingSystems
 Robustness certificates for sparse adversarial attacks by ran-domized ablation,2020, Association for the Advancement of Artificial Intelligence (AAAI)
 Wasserstein smoothing: Certified robustness against wasser-stein adversarial attacks,2020, In Silvia Chiappa and Roberto Calandra (eds
 Second-order adversarial attack andcertifiable robustness,2018, arXiv preprint arXiv:1809
 Network in network,2013, arXiv preprint arXiv:1312
 Smooth neighbors on teacher graphs forsemi-supervised learning,2018, In The IEEE Conference on Computer Vision and Pattern Recognition(CVPR)
 The curse of concentrationin robust learning: Evasion and poisoning attacks from concentration of measure,2019, Proceedingsof the AAAI Conference on Artificial Intelligence
 Certified robustness to label-flipping attacks via randomized smoothing,2020, arXiv preprint arXiv:2002
 Provably robust deep learning via adversarially trained smoothed classifiers,2019, arXivpreprint arXiv:1906
 Interpolation con-sistency training for semi-supervised learning,2019, In Proceedings of the 28th International JointConference on Artificial Intelligence
 Rab: Provable robustness againstbackdoor attacks,2020, arXiv preprint arXiv:2003
 Provable defenses against adversarial examples via the convex outeradversarial polytope,2018, In International Conference on Machine Learning
 Adversarial label flips attack on support vector ma-chines,2012, In Proceedings of the 20th European Conference on Artificial Intelligence
 Randomizedsmoothing of all shapes and sizes,2020, arXiv preprint arXiv:2002
 Effect of subsampling rate on subbagging and related ensemblesof stable classifiers,2009, In Santanu Chaudhury
