title,year,conference
 Deep speech 2 : End-to-end speech recognition in english and mandarin,2016, InProceedings of the 33rd International Conference on Machine Learning (ICML)
 The mechanics of n-player differentiable games,2018, In Proceedings of the 35th InternationalConference on Machine Learning (ICML)
 Demographic dialectal variation in socialmedia: A case study of African-American English,2016, In Proceedings of the 54th Annual Meetingof the Association for Computational Linguistics (ACL)
 Automated hate speechdetection and the problem of offensive language,2017, In Proceedings of the 11th International AAAIConference on Weblogs and Social Media (ICWSM)
 Distributionally robust optimization under moment uncertainty withapplication to data-driven problems,2010, Operations research
 Learning models with uniform performance via distribu-tionally robust optimization,2018, arXiv preprint arXiv:1810
 Statistics of robust optimization: A generalizedempirical likelihood approach,2016, arXiv preprint arXiv:1610
 Distributionallyrobust counterfactual risk minimization,2020, In Proceedings of the 34th Meeting of the Associationfor Advancement of Artificial Intelligence (AAAI)
 A survey on automatic detection of hate speech in text,2018, ACMComputing Surveys (CSUR)
 Predictably un-equal? the effects of machine learning on credit markets,2018, The Effects of Machine Learning onCredit Markets (November 6
 From few to many:Illumination cone models for face recognition under variable lighting and pose,2001, IEEE transactionson pattern analysis and machine intelligence
 Long short-term memory,1997, Neural computation
 Tagging performance correlates with author age,2015, In Proceedings ofthe 53rd Annual Meeting of the Association for Computational Linguistics (ACL)
 Kullback-leibler divergence constrained distributionally robust opti-mization,2013, Available at Optimization Online
 Adam: A method for stochastic optimization,2014, In Proceedingsof the International Conference on Learning Representations (ICLR)
 Pointer sentinel mixturemodels,2017, Proceedings of the International Conference on Learning Representations (ICLR)
 Robust bayesian classification using an optimisticscore ratio,2020, In Proceedings of the 37th International Conference on Machine Learning (ICML)
 Distributionally robustlanguage modeling,2019, In Proceedings of the 2019 Conference on Empirical Methods in NaturalLanguage Processing (EMNLP)
 Improving language under-standing with unsupervised learning,2018, Technical report
 Languagemodels are unsupervised multitask learners,2019, OpenAI Blog
 Distributionally Robust Optimization: A Review,2019, arXivpreprint arXiv:1908
 Distributionally robustneural networks for group shifts: On the importance of regularization for worst-case generaliza-tion,2020, In Proceedings of the International Conference on Learning Representations (ICLR)
 The risk of racialbias in hate speech detection,2019, In Proceedings of the 57th Annual Meeting of the Association forComputational Linguistics (ACL)
 Certifying some distributional robustnesswith principled adversarial training,2018, In Proceedings of the International Conference on LearningRepresentations (ICLR)
 Recursive deep models for semantic compositionality over a sentimenttreebank,2013, In Proceedings of the 2013 Conference on Empirical Methods in Natural LanguageProcessing (EMNLP)
 Lstm neural networks for language model-ing,2012, In Proceedings of the 13th Annual Conference of the International Speech CommunicationAssociation (InterSpeech)
 Towards debiasing nlu models from un-known biases,2020, arXiv preprint arXiv:2009
 Generative adversarial networks in computer vision:A survey and taxonomy,2019, arXiv preprint arXiv:1906
