title,year,conference
 An introduction tomcmc for machine learning,2003, Machine learning
 On pixel-wise explanations for non-linear classifier decisions by layer-wiserelevance propagation,2015, PloS one
 Adversarial attack ongraph structured data,2018, arXiv preprint arXiv:1806
 Syntax-directed variational autoen-coder for structured data,2018, arXiv preprint arXiv:1802
 Automatic chemical design using a data-driven contin-uous representation of molecules,2018, ACS central science
 Learning to navi-gate the synthetically accessible chemical space using reinforcement learning,2020, arXiv preprintarXiv:2004
 Junction tree variational autoencoder formolecular graph generation,2018, In International Conference on Machine Learning
 Composing molecules with multiple propertyconstraints,2020, arXiv preprint arXiv:2002
 Molecular hypergraph grammar with its application to molecular optimization,2019, InInternational Conference on Machine Learning
 Decoding molecular graph embeddings with reinforcementlearning,2019, arXiv preprint arXiv:1904
 Investigating theinfluence of noise and distractors on the interpretation of neural networks,2016, arXiv preprintarXiv:1611
 Auto-encoding variational bayes,2013, arXiv preprintarXiv:1312
 Chembo: Bayesian optimization of small organic molecules with syn-thesizable recommendations,2020, In International Conference on Artificial Intelligence and Statistics
 Grammar variational autoen-coder,2017, arXiv preprint arXiv:1703
 Constrained graph varia-tional autoencoders for molecule design,2018, In Advances in neural information processing systems
 A unified approach to interpreting model predictions,2017, pp
 Augmenting ge-netic algorithms with deep neural networks for exploring the chemical space,2020, In InternationalConference on Learning Representations
 Deep reinforcement learning for de novodrug design,2018, Science advances
 Molecularrnn: Generatingrealistic molecular graphs with optimized properties,2019, arXiv preprint arXiv:1905
 Topological polar surface area: a useful descriptor in 2d-qsar,2009, Currentmedicinal chemistry
 Why should i trust you?: Explaining thepredictions of any classifier,2016, In Proceedings of the 22nd ACM SIGKDD International Conferenceon Knowledge Discovery and Data Mining
 Generating focusedmolecule libraries for drug discovery with recurrent neural networks,2018, ACS central science
 Learning important features throughpropagating activation differences,2017, In ICML
 Deep inside convolutional networks: Vi-sualising image classification models and saliency maps,2013, arXiv preprint arXiv:1312
 Striving forsimplicity: The all convolutional net,2014, arXiv preprint arXiv:1412
 Efficient multi-objective molecular optimization in a continuous latent space,2019, Chemicalscience
 Gnnexplainer:Generating explanations for graph neural networks,2019, In Advances in neural information processingsystems
 Graph convolutional pol-icy network for goal-directed molecular graph generation,2018, In Advances in neural informationprocessing systems
 Graphrnn: Generatingrealistic graphs with deep auto-regressive models,2018, arXiv preprint arXiv:1802
 Optimization ofmolecules via deep reinforcement learning,2019, Scientific reports
