title,year,conference
 Spectral networks and lo-cally connected networks on graphs,2014, In International Conference on Learning Representations(ICLR2014)
 The heat kernel as the pagerank of a graph,2007, Proceedings of the National Academy ofSciences
 Convolutional neural networkson graphs with fast localized spectral filtering,2016, In Advances in Neural Information ProcessingSystems
 Contextual stochasticblock models,2018, In Advances in Neural Information Processing Systems
 Outcome correlation in graph neural network regression,2020, arXivpreprint arXiv:2002
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Semi-supervised classification with graph convolutional net-works,2017, In International Conference on Learning Representations (ICLR)
 Predict then propagate:Graph neural networks meet personalized pagerank,2018, In International Conference on LearningRepresentations
 Diffusion improves graph learn-ing,2019, In Advances in Neural Information Processing Systems
 Link prediction in complex networks: A survey,2011, PhySica A: statisticalmechanics and its applications
 Image-based rec-ommendations on styles and substitutes,2015, In Proceedings of the 38th International ACM SIGIRConference on Research and Development in Information Retrieval
 Birds ofa feather: Homophily in socialnetworks,2001, Annual review of sociology
 Geom-gcn: Geometricgraph convolutional networks,2019, In International Conference on Learning Representations
 Pitfallsof graph neural network evaluation,2018, arXiv preprint arXiv:1811
 The emerging fieldof signal processing on graphs: Extending high-dimensional data analysis to networks and otherirregular domains,2013, IEEE Signal Processing Magazine
 Graph attention networks,2018, In International Conference on Learning Representations
 A tutorial on spectral clustering,2007, Statistics and computing
 Dfnets: Spectral cnns for graphs with feedback-looped filters,2019, In Advances in Neural Information Processing Systems
 Representation learning on graphs with jumping knowledge networks,2018, In InternationalConference on Machine Learning
 General-izing graph neural networks beyond homophily,2020, arXiv preprint arXiv:2006
 Semi-supervised learning literature survey,2005, Technical report
