title,year,conference
 Analyzing the performance of multilayer neural networksfor object recognition,2014, In European conference on computer vision
 From genericto specific deep representations for visual recognition,2015, In Proceedings of the IEEE conference on computervision and pattern recognition workshops
 Unsupervised pre-training of imagefeatures on non-curated data,2019, In Proceedings of the IEEE International Conference on Computer Vision
 Rethinking atrous convolution forsemantic image segmentation,2017, arXiv preprint arXiv:1706
 A simple framework for contrastivelearning of visual representations,2020, arXiv preprint arXiv:2002
 A closer look at few-shotclassification,2019, In International Conference on Learning Representations
 Improved baselines with momentum contrastivelearning,2020, arXiv preprint arXiv:2003
 Imagenet: A large-scale hierarchicalimage database,2009, In 2009 IEEE conference on computer vision and pattern recognition
 Multi-task self-supervised visual learning,2017, In Proceedings of the IEEEInternational Conference on Computer Vision
 Unsupervised visual representation learning by contextprediction,2015, In Proceedings of the IEEE International Conference on Computer Vision
 Discrimi-native unsupervised feature learning with exemplar convolutional neural networks,2015, IEEE transactions onpattern analysis and machine intelligence
 Image style transfer using convolutional neuralnetworks,2016, In Proceedings of the IEEE conference on computer vision and pattern recognition
 Unsupervised representation learning by predicting imagerotations,2018, arXiv preprint arXiv:1803
 Rich feature hierarchies for accurate objectdetection and semantic segmentation,2014, In Proceedings of the IEEE conference on computer vision and patternrecognition
 Mask r-cnn,2017, In Proceedings Ofthe IEEEinternational conference on computer vision
 Rethinking imagenet pre-training,2019, In Proceedings of the IEEEInternational Conference on Computer Vision
 Momentum contrast for unsupervisedvisual representation learning,2020, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition
 Data-efficient image recognition with contrastive predictive coding,2019, arXiv preprint arXiv:1905
 Diagnosing error in object detectors,2012, In Europeanconference on computer vision
 Imagenet classification with deep convolutional neuralnetworks,2012, In Advances in neural information processing systems
 Ensemble of exemplar-svms for object detection andbeyond,2011, In 2011 International conference on computer vision
 Comparison of deep transfer learning strategies for digitalpathology,2018, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition Workshops
 Faster r-cnn: Towards real-time object detection withregion proposal networks,2015, In Advances in neural information processing systems
 The synthia dataset: Alarge collection of synthetic images for semantic segmentation of urban scenes,2016, In Proceedings of the IEEEconference on computer vision and pattern recognition
 Contrastive multiview coding,2019, arXiv preprintarXiv:1906
 Deep image prior,2018, In Proceedings of the IEEEConference on Computer Vision and Pattern Recognition
 Branched multi-tasknetworks: deciding what layers to share,2019, arXiv preprint arXiv:1904
 Matching networks for one shotlearning,2016, In Advances in neural information processing systems
 Unsupervised feature learning via non-parametricinstance discrimination,2018, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 Taskon-omy: Disentangling task transfer learning,2018, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition
 Colorful image colorization,2016, In European conference oncomputer vision
 The unreasonable effectivenessof deep features as a perceptual metric,2018, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition
 Facial landmark detection by deep multi-tasklearning,2014, In European conference on computer vision
 Distilling localization for self-supervisedrepresentation learning,2020, arXiv preprint arXiv:2004
 Local aggregation for unsupervised learning of visualembeddings,2019, In Proceedings of the IEEE International Conference on Computer Vision
