title,year,conference
 Machine bias,2016, ProPublica
 Big data’s disparate impact,2016, Calif
 Compositional fairness constraints for graph embeddings,2019, InInternational Conference on Machine Learning
 Compositional fairness constraints for graph embed-dings,2019, In Kamalika Chaudhuri and Ruslan Salakhutdinov (eds
 Building classifiers with independencyconstraints,2009, In 2009 IEEE International Conference on Data Mining Workshops
 Censoring representations with an adversary,2015, arXiv preprintarXiv:1511
 Graph neuralnetworks for social recommendation,2019, In The World Wide Web Conference
 A confidence-based approach for balancingfairness and accuracy,2016, In Proceedings of the 2016 SIAM International Conference on Data Mining
 Obtaining fairnessusing optimal transport theory,2019, In International Conference on Machine Learning
 Inductive representation learning on large graphs,2017, InAdvances in neural information processing systems
 Equality of opportunity in supervised learning,2016, In Advancesin neural information processing systems
 Wasserstein fairclassification,2019, arXiv preprint arXiv:1907
 Preventing fairness gerrymandering:Auditing and learning for subgroup fairness,2018, In International Conference on Machine Learning
 An empirical study of rich subgroupfairness for machine learning,2019, In Proceedings of the Conference on Fairness
 Variational graph auto-encoders,2016, arXiv preprint arXiv:1611
 Counterfactual fairness,2017, In Advancesin Neural Information Processing Systems
 Graph adversarial networks: Protecting information against adversarialattacks,2020, arXiv preprint arXiv:2009
 The variational fairautoencoder,2016, In ICLR
 Learning adversarially fair andtransferable representations,2018, arXiv preprint arXiv:1802
 Deepwalk: Online learning of social representa-tions,2014, In Proceedings of the 20th ACM SIGKDD international conference on Knowledge discoveryand data mining
 Evaluation of different biological data andcomputational classification methods for use in protein interaction prediction,2006, Proteins: Structure
 Fairwalk: towards fair graphembedding,2019, In Proceedings of the 28th International Joint Conference on Artificial Intelligence
 Exploring algorithmic fairness in robust graph covering problems,2019, In Advances inNeural Information Processing Systems
 Item-based collaborative filteringrecommendation algorithms,2001, In Proceedings of the 10th international conference on World WideWeb
 Comparing communitystructure to characteristics in online collegiate social networks,2011, SIAM review
 Complexembeddings for simple link prediction,2016, International Conference on Machine Learning (ICML)
 Fairness without harm: Decoupled classifiers withpreference guarantees,2019, In International Conference on Machine Learning
 Graph attention networks,2017, arXiv preprint arXiv:1710
 A tutorial on spectral clustering,2007, Statistics and computing
 Neural graph collaborativefiltering,2019, In Proceedings of the 42nd international ACM SIGIR conference on Research anddevelopment in Information Retrieval
 Beyond parity: Fairness objectives for collaborative filtering,2017, In Advancesin Neural Information Processing Systems
 Link prediction based on graph neural networks,2018, In Advances inNeural Information Processing Systems
 Inherent tradeoffs in learning fair representations,2019, In Advances inneural information processing systems
 Conditional learning of fairrepresentations,2019, arXiv preprint arXiv:1910
