title,year,conference
 A state aggregation approach forstochastic multiperiod last-mile ride-sharing problems,2019, Transp
 Feudal reinforcement learning,1558, In Advances in NeuralInformation Processing Systems 5
 Multi-agent reinforcement learning for microgrids,2010, In IEEEPES General Meeting
 Soft actor-critic: Off-policymaximum entropy deep reinforcement learning with a stochastic actor,2018, In Jennifer Dy andAndreas Krause (eds
 Control Method of Buses and Lines Using Reinforcement Learning for Short CircuitCurrent Reduction,2020, Sustainability
 Optimal energy managementstrategies for energy Internet via deep reinforcement learning approach,2019, Applied Energy
 Graph convolutional reinforcementlearning,2020, In International Conference on Learning Representations
 Reinforcement learning forelectricity network operation,2020, ArXiv
 Adam: A method for stochastic optimization,2015, In Yoshua Bengioand Yann LeCun (eds
 Hierarchical reinforcement learning with hindsight,2019, InInternational Conference on Learning Representations
 Human-level control through deepreinforcement learning,2015, Nature
 Asynchronous methods for deep reinforcementlearning,2016, In Maria Florina Balcan and Kilian Q
 Data-efficient hierarchicalreinforcement learning,2018, In Proceedings of the 32nd International Conference on NeuralInformation Processing Systems
 Multi-agentmanipulation via locomotion using hierarchical sim2real,2020, In Leslie Pack Kaelbling
 Stabilizingtransformers for reinforcement learning,2020, In Proceedings of The 37th International Conference onMachine Learning
 Reinforcement learning with hierarchies of machines,0262, InProceedings of the 1997 Conference on Advances in Neural Information Processing Systems 10
 Tackling climate change with machine learning,2019,	CoRR
 Prioritized experience replay,2016, InInternational Conference on Learning Representations
 Mastering the game ofGo withdeep neural networks and tree search,2016, Nature
 Reinforcement learning for dynamic channel allocationin cellular telephone systems,1996, In Proceedings of the 9th International Conference on NeuralInformation Processing Systems
 Reinforcement Learning: An Introduction,2018, A BradfordBook
 Attention is all you need,2017, In Advances in Neural InformationProcessing Systems 30
 Nervenet: Learning structured policy withgraph neural networks,2018, In 6th International Conference on Learning Representations
 Graphconvolutional policy network for goal-directed molecular graph generation,2018, In S
 Deepreinforcement learning with relational indUctive biases,2019, In 7th International Conference onLearning Representations
 Generating adjacency-constrained sUbgoals in hierarchical reinforcement learning,2020, NeurIPS 2020
