title,year,conference
 Never giveup: Learning directed exploration strategies,2020, ArXiv
 Deepmind lab,2016, CoRR
 Beyond fast mapping: Young chil-dren’s extensions of novel words and novel facts,2001, Developmental Psychology
 Language models arefew-shot learners,2020, arXiv preprint arXiv:2005
 Acquiring a single new word,1978, Papers and Reports on Child LanguageDevelopment
 Shapenet: An information-rich 3Dmodel repository,2015, arXiv preprint arXiv:1512
 RL2 : Fastreinforcement learning via slow reinforcement learning,2016, arXiv preprint arXiv:1611
 Model-agnostic meta-learning for fast adaptationof deep networks,2017, arXiv preprint arXiv:1703
 Generalization of reinforcementlearners with working and episodic memory,2019, In Advances in Neural Information ProcessingSystems
 Hybrid computing using a neural network with dynamic external memory,2016, Nature
 Grounded lan-guage learning in a simulated 3D world,2017, arXiv preprint arXiv:1706
 Understanding early wordlearning in situated artificial agents,2020, Proceedings of CogSci
 Long short-term memory,1997, Neural computation
 Continuous control with deeP reinforcement learning,2016, In ICLR(Poster)
 Why there are comPlementarylearning systems in the hiPPocamPus and neocortex: insights from the successes and failures ofconnectionist models of learning and memory,1995, Psychological review
 Extendingmachine language models toward human-level language understanding,2020, PNAS (to appear)
 Asynchronous methods for deeP reinforcementlearning,2016, In International conference on machine learning
 Mental imagery in associative learning and memory,1969, Psychological review
 Attention is all you need,2017, In Advances in neural informationprocessing systems
 Fast maPPing across time: Memory Processes suPPortchildren’s retention of learned words,2012, Frontiers in psychology
 Reinforced cross-modal matching and self-suPervised imita-tion learning for vision-language navigation,2019, In Proceedings of the IEEE Conference on ComputerVision and Pattern Recognition
 Unsupervised predictivememory in a goal-directed agent,2018, arXiv preprint arXiv:1803
 Memory networks,2014, arXiv preprintarXiv:1410
 Meta-learning for few-shot natural language processing: A survey,2020, arXiv preprintarXiv:2007
