title,year,conference
 Weakly supervised deep detection networks,2016, In Proceedings ofthe IEEE Conference on Computer Vision and Pattern Recognition (CVPR)
 Weakly supervisedcascaded convolutional networks,2017, In Proceedings of the IEEE Conference on Computer Visionand Pattern Recognition (CVPR)
 Solving the multiple instanceproblem with axis-parallel rectangles,1997, Artificial intelligence
 Note-rcnn: Noise tolerantensemble rcnn for semi-supervised object detection,2019, In Proceedings of the IEEE InternationalConference on Computer Vision (ICCV)
 Fast r-cnn,2015, In Proceedings of the IEEE International Conference on Computer Vision(ICCV)
 Deep residual learning for image recog-nition,2016, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition(CVPR)
 Lsda: Large scale detection through adaptation,2014, In Advances inNeural Information Processing Systems (NeurIPS)
 Detector discovery in the wild:Joint multiple instance and representation learning,2015, In Proceedings of the IEEE Conference onComputer Vision and Pattern Recognition (CVPR)
 Learning to segmentevery thing,2018, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition(CVPR)
 Weakly supervised object detection withsegmentation collaboration,2019, In Proceedings of the IEEE International Conference on ComputerVision (ICCV)
 Microsoft coco: Common objects in context,2014, In Proceedings ofthe European Conference on Computer Vision (ECCV)
 Focal loss for dense objectdetection,2017, In Proceedings of the IEEE International Conference on Computer Vision (ICCV)
 Faster r-cnn: Towards real-time objectdetection with region proposal networks,2015, In Advances in Neural Information Processing Systems(NeurIPS)
 Very deep convolutional networks for large-scale imagerecognition,2015, In Proceedings ofthe International Conference on Learning Representations (ICLR)
 Multiple instance detection network withonline instance classifier refinement,2017, In Proceedings of the IEEE Conference on Computer Visionand Pattern Recognition (CVPR)
 Fcos: Fully convolutional one-stage objectdetection,2019, In Proceedings of the IEEE International Conference on Computer Vision (ICCV)
 Revisiting knowledge transfer for training ob-ject class detectors,2018, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition (CVPR)
 Detecting 11k classes: Large scale object detection withoutfine-grained bounding boxes,2019, In Proceedings of the IEEE International Conference on ComputerVision (CVPR)
 Mixed supervised object detection with robustobjectness transfer,2018, IEEE transactions on pattern analysis and machine intelligence
 Learning deepfeatures for discriminative localization,2016, In Proceedings of the IEEE Conference on ComputerVision and Pattern Recognition (CVPR)
