title,year,conference
 Learning-based Optimization of theUnder-sampling Pattern in MRI,1149, Lecture Notes in Computer Science (including subseries LectureNotes in Artificial Intelligence and Lecture Notes in Bioinformatics)
 Deep-learning-basedoptimization of the under-sampling pattern in mri,2020, IEEE Transactions on Computational Imaging
 End-to-end Optimized Image ComPres-sion,2017, 5th International Conference on Learning Representations
 Compressed Sensing,2006, IEEE Transactions on Information Theory
 On compressive sensing applied to radar,0165, Signal Processing
 Statistical theory of extreme values and some practical applications,1954, NBS AppliedMathematics Series
 Deep Residual Learning for Compressed Sensing CTReconstruction via Persistent Homology Analysis,2016, 11 2016
 Fighting the curse of dimensionality:Compressive sensing in exploration seismology,1053, IEEE Signal Processing Magazine
 Long short-term memory,1997, Neural computation
 Learning sub-sampling andsignal recovery with applications in ultrasound imaging,2020, IEEE Transactions on Medical Imaging
 Learning Sampling and Model-Based Signal Recovery for Compressed Sensing MRI,2020, In International Conference on Acoustics
 Categorical Reparameterization with Gumbel-Softmax,2016, 5thInternational Conference on Learning Representations
 Bayesian compressive sensing,2008, IEEE Transactions on Signal Processing
 Self-Supervised Deep Active AcceleratedMRI,2019, 1 2019
 Gradient-based learning applied todocument recognition,0018, Proceedings of the IEEE
 Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,2016, CVPR
 On projection matrix optimization for compressivesensing systems,2013, IEEE Transactions on Signal Processing
 Sparse MRI: The application of compressedsensing for rapid MR imaging,2007, Magnetic Resonance in Medicine
 The concrete distribution: A continuousrelaxation of discrete random variables,2017, In International Conference on Machine Learning
 Neural Proximal Gradient Descent for Compressive Imaging,2018, 6 2018
 Adaptive sampling design for compressed sensing mri,2011, In2011 Annual International Conference of the IEEE Engineering in Medicine and Biology Society
 Lossy Image Compressionwith Compressive Autoencoders,2017, 5th International Conference on Learning Representations
 Image Quality Assessment:From Error Visibility to Structural Similarity,2004, Search Results Web results IEEE Transactions onImage Processing
 fastmri: An open dataset and benchmarks for accelerated MRI,2018, CoRR
 Reducing Uncertainty in Undersampled MRI Reconstruction with Active Acquisi-tion,2019, Proceedings of the IEEE Computer Society Conference on Computer Vision and PatternRecognition
