title,year,conference
 Review of parallel genetic algorithms bibliography,1994, Aristotle Univ
 Artificial neuralnetwork development by means of a novel combination of grammatical evolution and geneticalgorithm,2015, Engineering Applications OfArtificial Intelligence
 An evolutionary algorithm that constructs recurrentneural networks,1994, IEEE Transactions on Neural Networks
 Generalized quantifiers and natural language,1981, Linguistics andPhilosophy
 Locality Principles and the Acquisition of Syntactic Knowledge,1982, PhD thesis
 Language Models are Few-Shot Learners,2005, arXiv:2005
 A survey of parallel genetic algorithms,1998, Calculateurs paralleles
 Unsupervised Language Acquisition,1996, PhD thesis
 Finding structure in time,1990, Cognitive Science
 Weight agnostic neural networks,2019, CoRR
 LSTM recurrent networks learn simple context-free and context-sensitive languages,2001, IEEE Transactions on Neural Networks
 Higher orderrecurrent networks and grammatical inference,1990, In D
 A comparative analysis of selection schemes used in geneticalgorithms,1991, In Foundations of genetic algorithms
 A Study of Grammatical Inference,1969, PhD thesis
 Rule extraction from recurrent neural networks: A taxonomy and review,2005, NeuralComputation
 Adam: A Method for Stochastic Optimization,2015, In InternationalConference of Learning Representations (ICLR)
 Chapter 1,2008,4
 Designing Neural Networks using GeneticAlgorithms,1989,
 Training feedforward neural networks using genetic algo-rithms,1989, In IJCAI
 Learnable classes of natural language quantifiers: Two perspectives,2011, Ms
 The logical primitives ofthought: Empirical foundations for compositional cognitive models,2016, Psychological review
 Modeling by shortest data description,1978, Automatica
 Discovering neural nets with low Kolmogorov complexity and high general-ization capability,1997, Neural Networks
 Deep learning in neural networks: An overview,2015, Neural Networks
 Bayesian Learning of Probabilistic Language Models,1994, PhD thesis
 Extracting automata from recurrent neural networksusing queries and counterexamples,2018, In Proceedings of the 35th International Conference onMachine Learning
 Genetic algorithms and neural networks: optimizingconnections and connectivity,1990, Parallel Computing
 Word learning as Bayesian inference,2007, Psychological review
 Evolving optimal neural networks using genetic algo-rithms with Occam’s Razor,1993, Complex Systems
 Balancing accuracy and parsimony in genetic program-ming,1995, Evolutionary Computation
