title,year,conference
 k-means++: the advantages of careful seeding,2007, In Symposium on DiscreteAlgorithms ’07
 The probabilistic data association filter,2009, IEEE Control SystemsMagazine
 Parametric correspondence andchamfer matching: Two new techniques for image matching,1977, In IJCAI
 Simple online and realtime tracking,2016, In2016 IEEE International Conference on Image Processing (ICIP)
 Shapenet: An information-rich3d model repository,2015, arXiv:1512
 Online clustering with experts,2012, In Artificial Intelligence andStatistics
 Vector quantization,1984, IEEE ASSP Magazine
 Long short-term memory,1997, Neural Comput
 Differentiable particle filters: End-to-end learning withalgorithmic priors,2018, ArXiv
 Differen-tiable algorithm networks for composable robot learning,2019, ArXiv
 Deep kalman filters,2015, ArXiv
 Set transformer:A framework for attention-based permutation-invariant neural networks,2018, arXiv preprint arXiv:1810
 Deep amortized clustering,2019, ArXiv
 An algorithm for online k-means clustering,2016, In 2016Proceedings of the eighteenth workshop on algorithm engineering and experiments (ALENEX)
 DeepDA: LSTM-based deep data association network formulti-targets tracking in clutter,2019, 2019 22th International Conference on Information Fusion (FUSION)
 Multipleobject tracking: A literature review,2014, arXiv preprint arXiv:1409
 Deep association:End-to-end graph-based learning for multiple object tracking with conv-graph neural network,2019, In InternationalConference on Multimedia Retrieval (ICMR)
 Online multi-targettracking using recurrent neural networks,2017, ArXiv
 A survey of clustering with deeplearning: From the perspective of network architecture,2018, IEEE Access
 Neural clustering processes,2019, arXiv:Machine Learning
 Relational recurrent neural networks,2018, In Advances inneural information processing systems
 Deep affinity network formultiple object tracking,2019, In TPAMI
 Value iteration networks,2016, ArXiv
 An introduction to the kalman filter,2006, 2006
 Learning to track: Online multi-object tracking by decisionmaking,2015, In Proceedings of the IEEE international conference on computer vision
