title,year,conference
 Bagging predictors,1996, Machine learning
 Diversity creation methods: A surveyand categorisation,2005, Information Fusion
 Learning to rank using gradient descent,1595, In Proceedings of the 22nd InternationalConference on Machine Learning
 Denoising and verification cross-layer ensemble againstblack-box adversarial attacks,2019, In 2019 IEEE International Conference on Big Data (Big Data)
 Denoising and verification cross-layer ensemble againstblack-box adversarial attacks,2019, In 2019 IEEE International Conference on Big Data (Big Data)
 Bias plus variance decomposition for zero-one loss functions,1558, InProceedings of the Thirteenth International Conference on International Conference on MachineLearning
 Learning multiple layers of features from tiny images,2009, 2009
 Measures of diversity in classifier ensemblesand their relationship with the ensemble accuracy,2003, Mach
 Interrater reliability: the kappa statistic,1330, Biochemia medica
 Software diversity: practical statistics for its measurementand exploitation,1997, Information and Software Technology
 Analysis of different norms and corresponding Iipschitzconstants for global optimization,2006, Ukio Technologinis ir Ekonominis Vystymas
 A brief introdUction to boosting,1999, In Ijcai
 The soUrces of increased accUracy for two proposed boosting algorithms,1996, In InProc
 A comparative measUrement stUdyof deep learning as a service framework,1939, IEEE Transactions on Services Computing
 Boosting ensemble accuracyby revisiting ensemble diversity metrics,2020, Technical report
 Neural architecture search with reinforcement learning,2016, CoRR
 The black dots mark the ensembles that prunedout by the α filter while the red ones represent the remaining ensembles,2021, Even though
