title,year,conference
 MARS: Motion-Augmented RGB Stream for Action Recognition,2019, In IEEE Conference on Computer Vision andPattern Recognition (CVPR)
 Deformableconvolutional networks,2017, PP
 Convolutional neural networks ongraPhs with fast localized sPectral filtering,2016, In Neural Information Processing Systems (NeurIPS)
 Convolutional neural networks ongraPhs with fast localized sPectral filtering,2016, In Neural Information Processing Systems (NeurIPS)
 Revisiting temPoral modeling for video-based Person reid,2018, arXivpreprint arXiv:1805
 Wavelets on graphs via spectralgraPh theory,2011, Applied and Computational Harmonic Analysis (ACHA)
 Convolutional neural networks at constrained time cost,2015, In IEEEConference on Computer Vision and Pattern Recognition (CVPR)
 Identity mappings in deep residualnetworks,2016, In European Conference on Computer Vision (ECCV)
 Compact globaldescriptor for neural networks,2019, arXiv preprint arXiv:1907
 Person Re-Identification byDescriptive and Discriminative Classification,2011, In Proc
 Gather-excite: Exploiting featurecontext in convolutional neural networks,2018, In Neural Information Processing Systems (NeurIPS)
 Squeeze-and-excitation networks,2018, In IEEE Conference on ComputerVision and Pattern Recognition (CVPR)
 Ccnet:Criss-cross attention for semantic segmentation,2019, In IEEE International Conference on ComputerVision (ICCV)
 Cayleynets: Graph con-volutional neural networks with complex rational spectral filters,2018, IEEE Transactions on SignalProcessing (TSP)
 Understanding the effective receptivefield in deep convolutional neural networks,2016, In Neural Information Processing Systems (NeurIPS)
 Learning spatio-temporal representation with pseudo-3dresidual networks,2017, In IEEE International Conference on Computer Vision (ICCV)
 Person re-identification by videoranking,2014, In European Conference on Computer Vision (ECCV)
 Non-local neural networks,2018, InIEEE Conference on Computer Vision and Pattern Recognition (CVPR)
 Compact generalizednon-local network,2018, In Neural Information Processing Systems (NeurIPS)
 The NS operator given defined in Tao et al,2021, (2018) can be formulated as:Pjhf(Xi
