title,year,conference
 The use of the area under the roc curve in the evaluation of machine learningalgorithms,1997, Pattern Recognition
 Signature Verifi-cation using a” siamese” time delay neural network,1994, In Advances in neural information processingsystems
 Iterative deep graph learning for graph neural net-works: Better and robust node embeddings,2020, NeurIPS
 Error-tolerant graph matching using node contrac-tion,2018, Pattern Recognition Letters
 A survey of graph edit distance,2010, PatternAnalysis and applications
 A formal basis for the heuristic determinationof minimum cost paths,1968, IEEE transactions on Systems Science and Cybernetics
 Long short-term memory,1997, Neural computation
 Open graph benchmark: Datasets for machine learning on graphs,2020, arXivpreprint arXiv:2005
 A new measure of rank correlation,1938, Biometrika
 Adam: A method for stochastic optimization,2015, In InternationalConference on Learning Representations
 Semi-supervised classification with graph convolutional net-works,2017, In International Conference on Learning Representations
 Gated graph sequence neuralnetworks,2016, International Conference on Learning Representations
 Graph matching net-works for learning the similarity of graph structured objects,2019, ICML
 Structural pattern recognition with graph edit distance,2015, In Advances in computervision and pattern recognition
 Exact and inexact graph matching: Methodologyand applications,2010, In Managing and Mining Graph Data
 Attention is all you need,2017, In Advances in neural informationprocessing systems
 An efficient graphindexing method,2012, In 2012 IEEE 28th International Conference on Data Engineering
 Neural network-basedgraph embedding for cross-platform binary code similarity detection,2017, In Proceedings of the 2017ACM SIGSAC Conference on Computer and Communications Security
 Graphrnn: Generatingrealistic graphs with deep auto-regressive models,2018, In ICML
 Comparing stars:On approximating graph edit distance,2009, Proceedings of the VLDB Endowment
