title,year,conference
 E2lsh: Exact euclidean locality-sensitive hashing,2004, Technicalreport
 Extreme classification via adversarial softmax approximation,2020, InInternational Conference on Learning Representations
 Hashing-based-estimators for kernel density in high dimen-sions,2017, In 2017 IEEE 58th Annual Symposium on Foundations of Computer Science (FOCS)
 Unique entity estimation with applica-tion to the syrian conflict,2018, The Annals of Applied Statistics
 Fast and accurate stochastic gradient estima-tion,2019, In H
 Fast and accurate stochastic gradient estima-tion,2019, In Advances in Neural Information Processing Systems
 Strategies for training large vocabulary neurallanguage models,2015, arXiv preprint arXiv:1512
 Speech-transformer: a no-recurrence sequence-to-sequencemodel for speech recognition,2018, In 2018 IEEE International Conference on Acoustics
 Noise-contrastive estimation: A new estimation principlefor unnormalized statistical models,2010, In Yee Whye Teh and Mike Titterington (eds
 Approximate nearest neighbors: towards removing the curse ofdimensionality,1998, In Proceedings of the thirtieth annual ACM symposium on Theory of computing
 Polylogarithmic private approximations and efficient matching,2006, InTheory of Cryptography Conference
 On using very large targetvocabulary for neural machine translation,2014, arXiv preprint arXiv:1412
 Efficient estimation of word representa-tions in vector space,2013, arXiv preprint arXiv:1301
 Distributed representationsof words and phrases and their compositionality,2013, In Advances in neural information processingsystems
 Glove: Global vectors for wordrepresentation,2014, In Proceedings of the 2014 conference on empirical methods in natural languageprocessing (EMNLP)
 Jure leskovec,2010, 2010
 A new unbiased and efficient class of lsh-based sam-plers and estimators for partition function computation in log-linear models,2017, arXiv preprintarXiv:1703
 Scalable and sustainable deep learning via randomizedhashing,2017, In Proceedings of the 23rd ACM SIGKDD International Conference on KnowledgeDiscovery and Data Mining
 Residual attention network for image classification,2017, In Proceedings of the IEEEconference on computer vision and pattern recognition
 Graph convolutional networks for text classification,2019, InProceedings of the AAAI Conference on Artificial Intelligence
 Character-level convolutional networks for textclassification,2015, In Advances in neural information processing systems
