title,year,conference
 Hashing-based-estimators for kernel density in high dimen-sions,2017, In 2017 IEEE 58th Annual Symposium on Foundations of Computer Science (FOCS)
 Generating long sequences with sparsetransformers,2019, ArXiv
 Masked language modeling for pro-teins via linearly scalable long-context transformers,2020, ArXiv
 Bert: Pre-training of deepbidirectional transformers for langUage Understanding,2018, arXiv preprint arXiv:1810
 Transformers arernns: Fast aUtoregressive transformers with linear attention,2020, arXiv preprint arXiv:2006
 Reformer: The efficient transformer,2020, ArXiv
 Albert: A lite bert for self-supervised learning of language representations,2019, arXiv preprintarXiv:1909
 Improving distributional similarity with lessons learnedfrom word embeddings,2015, Transactions of the Association for Computational Linguistics
 Roberta: A robustly optimized bert pretrainingapproach,2019, arXiv preprint arXiv:1907
 Numerical recipes3rd edition: The art of scientific computing,2007, Cambridge university press
 Exploring the limits of transfer learning with a unified text-to-texttransformer,2019, arXiv preprint arXiv:1910
 Recursive deep models for semantic compositionality over a sentimenttreebank,2013, In Proceedings of EMNLP
 A new unbiased and efficient class of lsh-based sam-plers and estimators for partition function computation in log-linear models,2017, arXiv preprintarXiv:1703
 A simple method for commonsense reasoning,2018, arXiv preprintarXiv:1806
 Attention is all you need,2017, In Advances in neural informationprocessing systems
 Linformer: Self-attentionwith linear complexity,2020, ArXiv
 Huggingface's transformers:State-of-the-art natural language processing,2019, ArXiv
 Big bird: Transformers forlonger sequences,2020, Advances in Neural Information Processing Systems
 Defending against neural fake news,2019, In Advances in Neural Information ProcessingSystems
 Aligning books and movies: Towards story-like visual explanations by watchingmovies and reading books,2015, In Proceedings of the IEEE international conference on computervision
