title,year,conference
 Pattern recognition and machine learning,2006, springer
 Deep coordination graphs,2020, ICML 2020
 The representationalcapacity of action-value networks for multi-agent reinforcement learning,1862, In Proceedings of the18th International Conference on Autonomous Agents and MuItiAgent Systems
 Factorized q-learning for large-scale multi-agent systems,2018, arXiv preprintarXiv:1809
 Multi-agent reinforcement learning for net-worked system control,2020, arXiv preprint arXiv:2004
 Discriminative embeddings of latent variable models for struc-tured data,2016, In International conference on machine learning
 Tarmac: Targeted multi-agent communication,2018, ICML 2019
 Multi-agent common knowledge reinforcement learning,2019, In Advances inNeural Information Processing Systems
 Learning tocommunicate with deep multi-agent reinforcement learning,2016, In Advances in Neural InformationProcessing Systems
 Addressing function approximation error inactor-critic methods,2018, ICML 2018
 Coordinated reinforcement learning,2002, InICML
 Soft actor-critic: Off-policy maximum entropy deep reinforcement learning with a stochastic actor,2018, arXiv preprintarXiv:1801
 Graph convolutional reinforcement learning,2020, ICLR
 An introduction to variational autoencoders,2019, arXiv preprintarXiv:1906
 Multiagent reinforcement learningfor urban traffic control using coordination graphs,2008, In Joint European Conference on MachineLearning and Knowledge Discovery in Databases
 Pic: Permutation invariant critic formulti-agent deep reinforcement learning,2019, Conference on Robot Learning
 Multi-agentactor-critic for mixed cooperative-competitive environments,2017, In Advances in Neural InformationProcessing Systems
 Emergence of grounded compositional language in multi-agentpopulations,2017, arXiv preprint arXiv:1703
 Lenient multi-agent deepreinforcement learning,2018, In Proceedings of the 17th International Conference on AutonomousAgents and MultiAgent Systems
 Value propagation fordecentralized networked deep multi-agent reinforcement learning,2019, Neurips 2019
 Qmix: monotonic value function factorisation for deep multi-agentreinforcement learning,2018, ICML 2018
 A hilbert space embedding fordistributions,2007, In International Conference on Algorithmic Learning Theory
 Qtran: Learningto factorize with transformation for cooperative multi-agent reinforcement learning,2019, ICML 2019
 Injective hilbert space embeddings ofprobability measures,2008, In COLT
 Value-decompositionnetworks for cooperative multi-agent learning based on team reward,2018, In Proceedings of the 17thInternational Conference on Autonomous Agents and MultiAgent Systems
 Multi-agent reinforcement learning: Independent vs,1993, cooperative agents
 Cityflow: A city-scale benchmark for multi-target multi-camera vehicle tracking and re-identification,2019, In Proceedings of the IEEE Conferenceon Computer Vision and Pattern Recognition
 Graph attention networks,2017, arXiv preprint arXiv:1710
 Multiagent soft q-learning,2018, In 2018 AAAISpring Symposium Series
 Mean field multi-agent reinforcement learning,2018, ICML
 Cccp algorithms to minimize the bethe and kikuchi free energies: Convergent alter-natives to belief propagation,2002, Neural computation
 Fully decentralized multi-agent reinforcement learning with networked agents,2018, ICML 2018
 Learning phase competition for traffic signal control,2019, In Proceedings of the 28thACM International Conference on Information and Knowledge Management
