title,year,conference
 Life-long disentangled representation learning with cross-domain la-tent homologies,1049, Advances in Neural Information Processing Systems
 Variational Inference : A Review for Statisti-cians,2018, pp
 Explicit Disentanglement of Appearance and PersPec-tive in Generative Models,2019, (NeurIPS)
 On calibration of modern neuralnetworks,2017, 34th International Conference on Machine Learning
 Rare event detection using disen-tangled representation learning,1063, Proceedings of the IEEE Computer Society Conference onComputer Vision and Pattern Recognition
 B-Vae: Learning Basic Visual Concepts With aConstrained Variational Framework,1078, Iclr 2017
 DARLA: Improving Zero-Shot Transfer in Reinforcement Learning,2017, 7 2017
 3D Object Representations for Fine-Grained Categorization,2013, In 2013 IEEE International Conference on Computer Vision Workshops
 Deep ConvolutionalInverse Graphics Network,1089, pp
 Challenging Common Assumptions in the Unsupervised Learning of Disentangled Rep-resentations,2018, pp
 Information constraints on auto-encoding variational Bayes,1049, Advances in Neural Information Processing Systems
 Disentangling Disentanglementin Variational Autoencoders,2018, 12 2018
 Grad-CAM: Visual Explanations from Deep Networks via Gradient-basedLocalization,2016, pp
 Weakly-SuperviSed diSentanglingwith recurrent tranSformationS for 3D view SyntheSiS,1049, Advances in Neural Information ProcessingSystems
