title,year,conference
 SUPer-efficiency of automatic differentiation forfunctions defined as a minimum,2020, In ICML
 Screening SinkhornAlgorithm for Regularized OPtimal TransPort,2019, In NeurIPS
 Massively scalableSinkhorn distances via the Nystrom method,2019, In NeurIPS
 Gromov-Wasserstein Alignment of Word EmbeddingSPaces,2018, In EMNLP
 Practicaland OPtimal LSH for Angular Distance,2015, In NeurIPS
 Scalable NearestNeighbor Search for OPtimal TransPort,2020, In ICML
 SimGNN: A NeuralNetwork APProach to Fast GraPh Similarity ComPutation,2019, In WSDM
 Estimating or ProPagating GradientsThrough Stochastic Neurons for Conditional ComPutation,2013, CoRR
 Smooth and SParse OPtimal TransPort,2018, InAISTATS
 From oPtimal transPort to generative modeling: the VEGAN cookbook,2017, arXiv
 Similarity estimation techniques from rounding algorithms,2002, In ACM symposium onTheory of computing (STOC)
 Scaling algorithmsfor unbalanced oPtimal transPort Problems,2018, Mathematics of Computation
 A ConcePtual Breakthrough in SPhere Packing,2017, Notices of the American MathematicalSociety
 Joint distributionoptimal transportation for domain adaptation,2017, In NeurIPS
 Sinkhorn Distances: Lightspeed Computation of Optimal Transport,2013, In NeurIPS
 Computational Optimal Trans-port: Complexity by Accelerated Gradient Descent Is Better Than by Sinkhorn’s Algorithm,2018, InICML
 Statistical Optimal Transport via Factored Couplings,2019, In AISTATS
 Stochastic Optimization forLarge-scale Optimal Transport,2016, In NeurIPS
 Learning Generative Models with SinkhornDivergences,2018, In AISTATS
 Unsupervised Alignment of Embeddings withWasserstein Procrustes,2019, In AISTATS
 Image retrieval using scene graphs,2015, In CVPR
 Loss inTranslation: Learning Bilingual Word Mapping with a Retrieval Criterion,2018, In EMNLP
 Distance Metric Learning Using Graph Convolutional Networks: Applicationto Functional Brain Networks,2017, In MICCAI
 Newbinary linear programming formulation to compute the graph edit distance,2017, Pattern Recognit
 Graph Matching Networksfor Learning the Similarity of Graph Structured Objects,2019, In ICML
 GOT: AnOptimal Transport framework for Graph comparison,2019, In NeurIPS
 Large-scaleoptimal transport map estimation using projection pursuit,2019, In NeurIPS
 Recursive Sampling for the Nystrom Method,2017, In NeurIPS
 An Error-Tolerant Approximate Matching Algorithm for AttributedPlanar Graphs and Its Application to Fingerprint Classification,2004, In Structural
 Matching Node Embed-dings for Graph Similarity,2017, In AAAI
 Scalable Recognition with a Vocabulary Tree,2006, In CVPR
 Locality sensitive hashing: A comparison of hashfunction types and querying mechanisms,2010, Pattern Recognit
 Scaling Universalities ofkth-Nearest Neighbor Distances onClosed Manifolds,1998, Advances in Applied Mathematics
 Computational Optimal Transport,2019, Foundations and Trends inMachine Learning
 Wasserstein Barycenter and Its Applicationto Texture Mixing,2011, In Scale Space and Variational Methods in Computer Vision (SSVM)
 Learning Graph Distances with MessagePassing Neural Networks,2018, In ICPR
 IAM Graph Database Repository for Graph Based Pattern Recogni-tion and Machine Learning,2008, In Structural
 Approximate graph edit distance computation by means of bipartitegraph matching,2009, Image Vis
 A Survey of Cross-lingual Word EmbeddingModels,2019, J
 Earth mover’s distanceson discrete surfaces,2014, ACM Trans
 Convolutional wasserstein distances: efficient optimal transportationon geometric domains,2015, ACM Trans
 Fast Entropic Regularized Optimal TransportUsing Semidiscrete Cost Approximation,2018, SIAM J
 Attention is All you Need,2017, In NeurIPS
 OptimalTransport for structured data with application on graphs,2019, In ICML
 Hashing for Similarity Search: ASurvey,2014, CoRR
 Learning Combinatorial Embedding Networksfor Deep Graph Matching,2019, In ICCV
 Using the Nystrom Method to Speed UP KernelMachines,2001, In NeurIPS
 HMM-based graph edit distance for imageindexing,2008, Int
 Improved Nystrom low-rank approximation anderror analysis,2008, In ICML
 nodes Avg,2006, edges Node Edge	Graph type	Distance	Mean	Std
