title,year,conference
 Robust recovery of signals from a structured union of subspaces,2009, IEEETrans
 On the null space property of 'q-minimization for in compressedsensing,2015, J
 Probability inequalities for sums of bounded random variables,1963, J
 Algorithms for non-negative matrix factorization,2001, In Advancesin neural information processing systems
 PCA versus LDA,2001, IEEE Trans
 Efficient recovery of jointly sparse vectors,2009, In Advances in neuralinformation processing systems (NeurIPs)
 Regression shrinkage and selection via the Lasso,1996, J
 Limiting distributions in some occupancy problems,1958, The Annals of Mathematical Statistics
 Robust face recognition via sparserepresentation,2009, IEEE Trans
 on Sig,2009, Proc
