title,year,conference
 Began: Boundary equilibrium generative ad-versarial networks,2017, arXiv:1703
 Large scale gan training for high fidelity naturalimage synthesis,2019, arXiv:1809
 Smoothness and stability in gans,2020, In EighthInternational Conference on Learning Representations
 An onlinelearning approach to generative adversarial networks,2018, In International Conference on LearningRepresentations
 Im-proved training of wasserstein gans,2017, In Advances in Neural Information Processing Systems 30
 Auto-encoding variational bayes,2014, arXiv:1312
 Normalizing flows: An introduction and reviewof current methods,1939, IEEE Transactions on Pattern Analysis and Machine Intelligence
 A large-scale studyon regularization and normalization in gans,2019, In International Conference on Machine Learning
 Gradient-based learning applied to document recog-nition,1558, Proceedings of the IEEE
 Mmd gan:Towards deeper understanding of moment matching network,2017, In Advances in Neural InformationProcessing Systems 30
 Generative moment matching networks,2015, In InternationalConference on Machine Learning
 Geometric gan,2017, arXiv:1705
 Least squares generative adversarial networks,2017, In Proceedings of the IEEE InternationalConference on Computer Vision
 The numerics of gans,2017, Advances inNeural Information Processing Systems
 Unrolled generative adversarialnetworks,2017, In International Conference on Learning Representations
 Envelope theorems for arbitrary choice sets,1468, Econometrica
 Spectral normalizationfor generative adversarial networks,2018, In International Conference on Learning Representations
 F-gan: Training generative neural sam-plers using variational divergence minimization,2016, In Advances in Neural Information ProcessingSystems 29
 Generating diverse high-fidelity images withvq-vae-2,2019, In Advances in Neural Information Processing Systems 32
 Improved techniques for training gans,2016, In Advances in Neural Information ProcessingSystems 29
 Instance normalization: The missing in-gredient for fast stylization,2017, arXiv:1607
 Coulomb gans: Provably optimal nash equilibria via potentialfields,2017, arXiv preprint arXiv:1708
 Nvae: A deep hierarchical variational autoencoder,2020, arXiv:2007
 Self-attention generativeadversarial networks,2019, volume 97 of Proceedings ofMachine Learning Research
 Hype: A benchmark for human eye perceptual evaluation of generative models,2019, In Advancesin Neural Information Processing Systems
