title,year,conference
 Pitfalls of in-domainuncertainty estimation and ensembling in deep learning,2020, In ICLR
 Pitfalls of in-domainuncertainty estimation and ensembling in deep learning,2020, In 8th International Conference onLearning Representations
 The fundamental incompatibility of scalable hamiltonian monte carlo andnaive data subsampling,2015, volume 37 of Proceedings of Machine Learning Research
 Pattern recognition and machine learning,2006, springer
 Weight Uncertainty inNeural Networks,2015, In Proceedings of The 32nd International Conference on Machine Learning(ICML)
 A survey of model compression and accelerationfor deep neural networks,2017, arXiv preprint arXiv:1710
 Informative gaussian scale mixturepriors for bayesian neural networks,2020, arXiv preprint arXiv:2002
 Efficient and scalable bayesian neural nets with rank-1factors,2020, arXiv preprint arXiv:2005
 Benchmarking bayesian deep learning withdiabetic retinopathy diagnosis,2019, Preprint
 On the expressiveness ofapproximate inference in bayesian neural networks,2019, arXiv
 Deep ensembles: A loss landscape perspec-tive,2019, arXiv preprint arXiv:1912
 Arguing machines: Human supervision ofblack box ai systems that make life-critical decisions,2019, In Proceedings of the IEEE Conference onComputer Vision and Pattern Recognition Workshops
 Uncertainty in deep learning,2016, University of Cambridge
 Dropout as a bayesian approximation: Representing modeluncertainty in deep learning,2016, In international conference on machine learning
 Deep convolutionalnetworks as shallow gaussian processes,2018, In International Conference on Learning Representations
 Probabilistic machine learning and artificial intelligence,2015, Nature
 Model selection in bayesian neural networks via horseshoepriors,2017, arXiv preprint arXiv:1705
 Bayesian Gaussian processes for regression and classification,1998, PhD thesis
 Learning sparsenetworks using targeted dropout,2019, arXiv preprint arXiv:1905
 Delving deep into rectifiers: Surpassinghuman-level performance on ImageNet classification,2015, In 2015 IEEE International Conferenceon Computer Vision
 Deep residual learning for imagerecognition,2016, In Proceedings of the IEEE conference on computer vision and pattern recognition
 Benchmarking neural network robustness to commoncorruptions and perturbations,2019, arXiv preprint arXiv:1903
 Probabilistic backpropagation for scalable learningof bayesian neural networks,2015, In International Conference on Machine Learning
 Improving predictions of bayesian neuralnetworks via local linearization,2020, ICML Workshop on Uncertainty and Robustness in Deep Learning
 Subspace inference for bayesian deep learning,2019, In 35th Conference onUncertainty in Artificial Intelligence
 Approximate in-ference turns deep networks into gaussian processes,2019, In Advances in neural information processingsystems
 Variational dropout and the local reparameterizationtrick,2015, In Advances in neural information processing systems
 Simple and scalable predictiveuncertainty estimation using deep ensembles,2017, In Advances in Neural Information ProcessingSystems
 Variational inference in probabilistic models,2001, PhD thesis
 Gradient-based learning applied todocument recognition,1998, Proceedings of the IEEE
 Adaptivenetwork sparsification via dependent variational beta-bernoulli dropout,2018, 2018
 Structured and efficient variational deep learning with matrixgaussian posteriors,2016, In International Conference on Machine Learning
 Learning sparse neural networks throughl_0 regularization,2017, arXiv preprint arXiv:1712
 Rethinking parameter counting indeep models: Effective dimensionality revisited,2020, arXiv preprint arXiv:2003
 Second-order optimization for neural networks,2016, University of Toronto (Canada)
 Scalable Gaussian process inference using variationalmethods,2017, PhD thesis
 Bayesian Learning for Neural Networks,1995, PhD thesis
 Generalized Linear Models,1972, Wiley Online Library
 ReadingDigits in Natural Images with Unsupervised Feature Learning,2011, In NeurIPS Workshop on DeepLearning and Unsupervised Feature Learning
 Deep neural networks are easily fooled: High confidencepredictions for unrecognizable images,2015, In Proceedings of the IEEE conference on computer visionand pattern recognition
 Practical deep learning with Bayesian principles,2019, arXiv preprintarXiv:1906
 Bayesian batchactive learning as sparse subset approximation,2019, In Advances in Neural Information ProcessingSystems
 Posterior concentration for sparse deep learning,2018, InAdvances in Neural Information Processing Systems
 Deep bayesian bandits showdown: An empiricalcomparison of bayesian deep networks for thompson sampling,2018, In International Conference onLearning Representations
 A scalable laplace approximation for neuralnetworks,2018, In International Conference on Learning Representations
 Walsh-hadamard variational inference forbayesian deep learning,2019, arXiv preprint arXiv:1905
 Scalable bayesian optimization using deep neuralnetworks,2015, In International conference on machine learning
 The k-tied normaldistribution: A compact parameterization of gaussian mean field posteriors in bayesian neuralnetworks,2020, arXiv preprint arXiv:2002
 Picking winning tickets before training bypreserving gradient flow,2020, In International Conference on Learning Representations
 Fashion-MNIST: a novel image dataset for bench-marking machine learning algorithms,2017, 2017
