title,year,conference
 Deep Voice: Real-Time Neural Text-to-Speech,2017, In Proc
 Neural Machine Translation by JointlyLearning to Align and Translate,2015, In Proc
 TalkNet: Fully-Convolutional Non-Autoregressive Speech Synthesis Model,2020, arXiv preprint arXiv:2005
 WaveG-rad: Estimating Gradients for Waveform Generation,2020, arXiv preprint arXiv:2009
 In Proc,2015, NeurIPS
 Textual Echo Cancellation,2020, arXiv preprintarXiv:2008
 End-to-EndAdversarial Text-to-Speech,2020, arXiv preprint arXiv:2006
 Deep voice 2: Multi-speaker neural text-to-speech,2017, In Advances inneural information processing systems
 Generating Sequences with Recurrent Neural Networks,2013, arXiv preprintarXiv:1308
 Non-autoregressiveneural machine translation,2017, arXiv preprint arXiv:1711
 A New GAN-based End-to-End TTS TrainingAlgorithm,2019, In Proc
 Robust Sequence-to-Sequence Acoustic Modeling with StepwiseMonotonic Attention for Neural TTS,2019, In Proc
 Transfer Learning from SpeakerVerification to Multispeaker Text-To-Speech Synthesis,2018, In Proc
 Direct Speech-to-Speech Translation with a Sequence-to-Sequence Model,2019, In Proc
 Libri-light: A Benchmark for ASR with Limited or No Supervision,2020, In Proc
 EfficientNeural Audio Synthesis,2018, In Proc
 CHiVE: Varying Prosodyin Speech Synthesis with a Linguistically Driven Dynamic Hierarchical Conditional VariationalNetwork,2019, In Proc
 Auto-Encoding Variational Bayes,2014, In Proc
 MelGAN: Generative AdversarialNetworks for Conditional Waveform Synthesis,2019, In Proc
 Robust and fine-grained prosody control of end-to-end speechsynthesis,2019, In Proc
 Neural Speech Synthesis withTransformer Network,2019, In Proc
 JDI-T: Jointly TrainedDuration Informed Transformer for Text-To-Speech without Explicit Alignment,2020, arXiv preprintarXiv:2005
 Effective approaches to attention-basedneural machine translation,2015, arXiv preprint arXiv:1508
 WaveNet: A Generative Model forRaw Audio,2016, arXiv preprint arXiv:1609
 Librispeech: An ASRCorpus Based on Public Domain Audio Books,2015, In Proc
 In Proc,2020, Interspeech
 Deep Voice 3: Scaling text-to-speech with convolutional sequencelearning,2018, In Proc
 WaveGlow: A Flow-based Generative Networkfor Speech Synthesis,2019, In Proc
 FastSpeech 2: Fast andHigh-Quality End-to-End Text-to-Speech,2020, arXiv preprint arXiv:2006
 Towards End-to-End Prosody Transfer for Expressive SpeechSynthesis with Tacotron,2018, In Proc
 Char2Wav: End-to-End speech synthesis,2017, In Proc
 Fully-HierarchicalFine-Grained Prosody Modeling for Interpretable Speech Synthesis,2020, In Proc
 Attention Is All You Need,2017, In Proc
 Tacotron: Towards End-to-End Speech Synthesis,2017, In Proc
 A Learning Algorithm for Continually Running Fully RecurrentNeural Networks,1989, Neural Computation
 DurIAN: Duration informed attention network formultimodal synthesis,2019, arXiv:1909
 Statistical Parametric Speech Synthesis,2009, Speech Communication
 Statistical Parametric Speech Synthesis Using DeepNeural Networks,2013, In Proc
 AlignTTS: Efficient Feed-ForwardText-to-Speech System without Explicit Alignment,2020, In Proc
 Forward attention in sequence-to-sequenceacoustic modeling for speech synthesis,2018, In Proc
 Adadurian: Few-shot adaptationfor neural text-to-speech with durian,2020, arXiv preprint arXiv:2005
001 Linear rampup 4K steps then deCay half every 50K steps,2021, Adam(0
