title,year,conference
 Atheoretical analysis of contrastive unsupervised representation learning,2019, In Proceedings of the 36thInternational Conference on Machine Learning
 Joint measures and cross-covariance operators,1973, Transactions of the AmericanMathematical Society
 Universal approximation bounds for superpositions of a sigmoidal function,1993, IEEETransactions on Information theory
 Adversarialrobustness: From self-supervised pre-training to fine-tuning,2020, arXiv preprint arXiv:2003
 A simple framework forcontrastive learning of visual representations,2020, arXiv preprint arXiv:2002
 Bigself-supervised models are strong semi-supervised learners,2020, arXiv preprint arXiv:2006
 Bert: Pre-training of deepbidirectional transformers for language understanding,2018, arXiv preprint arXiv:1810
 Self-supervised videorepresentation learning with odd-one-out networks,2017, In Proceedings of the IEEE conference oncomputer vision and pattern recognition
 Unsupervised representation learning bypredicting image rotations,2018, arXiv preprint arXiv:1803
 A century of portraits:A visual historical record of american high school yearbooks,2015, In Proceedings of the IEEEInternational Conference on Computer Vision Workshops
 Measuring statisticaldependence with hilbert-schmidt norms,2005, In International conference on algorithmic learningtheory
 Recovering low-rank matrices from few coefficients in any basis,2011, IEEE Transactionson Information Theory
 Noise-contrastive estimation: A new estimation principlefor unnormalized statistical models,2010, In Proceedings of the Thirteenth International Conference onArtificial Intelligence and Statistics
 Deep residual learning for imagerecognition,2016, In Proceedings of the IEEE conference on computer vision and pattern recognition
 Using self-supervised learningcan improve model robustness and uncertainty,2019, In Advances in Neural Information ProcessingSystems
 Learning deep representations by mutual information estimationand maximization,2018, arXiv preprint arXiv:1808
 Random design analysis of ridge regression,2012, InConference on learning theory
 Grasp2vec: Learning objectrepresentations from self-supervised grasping,2018, arXiv preprint arXiv:1811
 Self-supervised visual feature learning with deep neural networks: Asurvey,2020, IEEE Transactions on Pattern Analysis and Machine Intelligence
 Multi-view regression via canonical correlation analysis,2007, InInternational Conference on Computational Learning Theory
 Revisiting self-supervised visual representa-tion learning,2019, In Proceedings of the IEEE conference on Computer Vision and Pattern Recognition
 An efficient framework for learning sentence representa-tions,2018, In Proceedings of the International Conference on Learning Representations
 Noise contrastive estimation and negative sampling for conditionalmodels: Consistency and statistical efficiency,2018, In Proceedings of the 2018 Conference on EmpiricalMethods in Natural Language Processing
 Distributed representationsof words and phrases and their compositionality,2013, In Advances in neural information processingsystems
 Shuffle and learn: unsupervised learning usingtemporal order verification,2016, In European Conference on Computer Vision
 Unsupervised learning of visual representations by solving jigsawpuzzles,2016, In European Conference on Computer Vision
 Representation learning with contrastive predictivecoding,2018, arXiv preprint arXiv:1807
 Contextencoders: Feature learning by inpainting,2016, In Proceedings of the IEEE conference on computervision and pattern recognition
 Methods of modern mathematical physics: Functional analysis,2012, Elsevier
 Understanding machine learning: From theory toalgorithms,2014, Cambridge university press
 Contrastive multiview coding,2019, arXiv preprintarXiv:1906
 Contrastive estimation reveals topicposterior information to linear models,2020, arXiv preprint arXiv:2003
 On mutualinformation maximization for representation learning,2019, arXiv preprint arXiv:1907
 Extracting andcomposing robust features with denoising autoencoders,2008, In Proceedings of the 25th internationalconference on Machine learning
 Understanding contrastive representation learning through align-ment and uniformity on the hypersphere,2020, arXiv preprint arXiv:2005
 Learning and using thearrow of time,2018, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 Self-enhanced gnn: Improving graph neuralnetworks using model outputs,2020, arXiv preprint arXiv:2002
 Colorful image colorization,2016, In Europeanconference on computer vision
 Split-brain autoencoders: Unsupervised learningby cross-channel prediction,2017, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition
 Path-invariant mapnetworks,2019, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition
