title,year,conference
 Layer normalization,2016, arXiv preprintarXiv:1607
 Measuring abstractreasoning in neural networks,2018, In Proceedings of International Conference on Machine Learning(ICML)
 The computational and neural basis of cognitivecontrol: charted territory and new frontiers,2014, Cognitive Science
 Monet: Unsupervised scene decomposition and represen-tation,2019, arXiv preprint arXiv:1901
 The origin of concepts,2009, Oxford Press
 Empirical evaluation ofgated recurrent neural networks on sequence modeling,2014, arXiv preprint arXiv:1412
 Quantifying generaliza-tion in reinforcement learning,2019, In Proceedings of International Conference on Machine Learning(ICML)
 The number sense: How the mind creates mathematics,2011, OUP USA
 Cross-linguistic regularities in the frequency of numberwords,1992, Cognition
 Finding structure in time,1990, Cognitive Science
 Tracking individuals via object-files: evidence from infants’ man-ual search,2003, Developmental Science
 Strips: A new approach to the application of theorem provingto problem solving,1971, Artificial Intelligence
 The developmental psychology of Jean Piaget,1963, D Van Nostrand
 Connectionism and cognitive architecture: A criticalanalysis,1988, Cognition
 Addressing function approximation error in actor-critic methods,2018, In International Conference on Machine Learning
 The Ecological Approach to Visual Perception,1986, Psychology Press
 A rational anal-ysis of rule-based concept learning,2008, Cognitive Science
 General pattern theory: A mathematical study of regular structures Oxford mathe-matical monographs,1993, Oxford University Press: Clarendon
 An investigation of model-freeplanning,2019, In Proceedings of International Conference on Machine Learning (ICML)
 beta-vae: Learning basic visual concepts with a con-strained variational framework,2017, In Proceedings of International Conference on Machine Learning(ICML)
 Long short-term memory,1997, Neural Computation
 Mental leaps: Analogy in creativethought,1996, MIT press
 Clevr: A diagnostic dataset for compositional language and elementary visualreasoning,2017, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition(CVPR)
 Planning and acting in par-tially observable stochastic domains,1998, Artificial Intelligence
 The reviewing of object files: Object-specificintegration of information,1992, Cognitive Psychology
 Schema networks: zero-shot transfer with a generative causal model of intuitive physics,2017, In Proceedings of InternationalConference on Machine Learning (ICML)
 Whatcan i do here? a theory of affordances in reinforcement learning,2020, In Proceedings of InternationalConference on Machine Learning (ICML)
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Human-level concept learningthrough probabilistic program induction,2015, Science
 Building ma-chines that learn and think like people,2017, Behavioral and Brain Sciences
 Towards a unified theory of state abstractionfor mdps,2006, In International Symposium on Artificial Intelligence and Mathematics
 Space: Unsupervised object-oriented scene representation via spatialattention and decomposition,2020, In International Conference on Learning Representations (ICLR)
 Challenging common assumptions in the unsupervised learn-ing of disentangled representations,2019, In Proceedings of International Conference on MachineLearning (ICML)
 The algebraic mind: Integrating connectionism and cognitive science,2018, MIT Press
 Vision: A Computational Investigation into the Human Representation and Processingof Visual Information,1982, Henry Holt and Co
 Learning to navigate in complexenvironments,2017, In International Conference on Learning Representations (ICLR)
 Emergence of grounded compositional language in multi-agentpopulations,2018, In Proceedings of AAAI Conference on Artificial Intelligence (AAAI)
 Word and object,1960, MIT press
 Pre-frontal cortex and flexible cognitive control: Rules without symbols,2005, Proceedings of the NationalAcademy of Sciences (PNAS)
 Habitat: A platform for embodied airesearch,2019, In Proceedings of the IEEE International Conference on Computer Vision
 Simple principles of metalearning,1996, Technicalreport
 Attention is all you need,2017, In Proceedings of Advancesin Neural Information Processing Systems (NeurIPS)
 Star-craft ii: A new challenge for reinforcement learning,2017, arXiv preprint arXiv:1708
 Prefrontal cortex as a meta-reinforcement learningsystem,2018, Nature Neuroscience
 Unsupervised predictivememory in a goal-directed agent,2018, arXiv preprint arXiv:1803
 Dd-ppo: Learning near-perfect pointgoal navigators from 2,2020,5 billion frames
 Visual semanticnavigation using scene priors,2019, In International Conference on Learning Representations
 Deep reinforcement learningwith relational inductive biases,2019, In International Conference on Learning Representations (ICLR)
 Learninginvariant representations for reinforcement learning without reconstruction,2020, arXiv preprintarXiv:2006
 Raven: A dataset for relationaland analogical visual reasoning,2019, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition (CVPR)
 A stochastic grammar of images,2007, Now Publishers Inc
1 and 3,2020,2
 An ablation study on the volume oftraining set can be found in Appendix G,2000, Each agent is trained for 2000 episodes under the taskformulation introduced in Section 3
