title,year,conference
 2d human pose estima-tion: New benchmark and state of the art analysis,2014, In Proceedings of the IEEE Conference oncomputer Vision and Pattern Recognition
 Scene labeling with lstmrecurrent neural networks,2015, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition
 Se-mantic image segmentation with deep convolutional nets and fully connected crfs,2014, arXiv preprintarXiv:1412
 Rethinking atrousconvolution for semantic image segmentation,2017, arXiv preprint arXiv:1706
 Encoder-decoder with atrous separable convolution for semantic image segmentation,2018, In Proceedings ofthe European conference on computer vision (ECCV)
 Cascadedpyramid network for multi-person pose estimation,2018, In Proceedings of the IEEE conference oncomputer vision and pattern recognition
 Imagenet: A large-scale hi-erarchical image database,2009, In 2009 IEEE conference on computer vision and pattern recognition
 Dual attentionnetwork for scene segmentation,2019, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition
 Adaptive con-text network for scene parsing,2019, In Proceedings of the IEEE international conference on computervision
 Superpixelconvolutional networks using bilateral inceptions,2016, In European Conference on Computer Vision
 Fast r-cnn,2015, In Proceedings of the IEEE international conference on computer vision
 Rich feature hierarchies for ac-curate object detection and semantic segmentation,2014, In Proceedings of the IEEE conference oncomputer vision and pattern recognition
 Adaptive pyramid context networkfor semantic segmentation,2019, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition
 Mask r-cnn,2017, In Proceedings oftheIEEE international conference on computer vision
 Strip pooling: Rethinking spatial poolingfor scene parsing,2020, arXiv preprint arXiv:2003
 Squeeze-and-excitation networks,2018, In Proceedings of the IEEEconference on computer vision and pattern recognition
 Cc-net: Criss-cross attention for semantic segmentation,2019, In Proceedings of the IEEE InternationalConference on Computer Vision
 Batch normalization: Accelerating deep network training byreducing internal covariate shift,2015, arXiv preprint arXiv:1502
 Semi-supervised classification with graph convolutional net-works,2016, arXiv preprint arXiv:1609
 Imagenet classification with deep convo-lutional neural networks,2012, In Advances in neural information processing systems
 Associative hierarchical Crfsfor object class image segmentation,2009, In 2009 IEEE 12th International Conference on ComputerVision
 Spatial pyramidbased graph reasoning for semantic segmentation,2020, arXiv preprint arXiv:2003
 Beyond grids: Learning graph representations for visual recognition,2018, InAdvances in Neural Information Processing Systems
 Semantic object parsingwith graph lstm,2016, In European Conference on Computer Vision
 Symbolic graph reasoningmeets convolutions,2018, In Advances in Neural Information Processing Systems
 Microsoft coco: Common objects in context,2014, In Europeanconference on computer vision
 Learning to predict context-adaptive convolUtion for semantic segmentation,2020, arXiv preprint arXiv:2004
 Semantic image segmenta-tion via deep parsing network,2015, In Proceedings of the IEEE international conference on computervision
 FUlly convolUtional networks for semanticsegmentation,2015, In Proceedings of the IEEE conference on computer vision and pattern recognition
 The role of context for object detection and semantic seg-mentation in the wild,2014, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition
 Faster r-cnn: Towards real-time objectdetection with region proposal networks,2015, In Advances in neural information processing systems
 FUlly connected deep strUctUred networks,2015, arXivpreprint arXiv:1503
 Training region-based object detectorswith online hard example mining,2016, In Proceedings of the IEEE conference on computer vision andpattern recognition
 Very deep convolUtional networks for large-scale imagerecognition,2014, arXiv preprint arXiv:1409
 Deep high-resolUtion representation learning forhUman pose estimation,2019, In Proceedings of the IEEE conference on computer vision and patternrecognition
 Attention is all you need,2017, In Advances in neural informationprocessing systems
 Joint objectand part segmentation using deep learned potentials,2015, In Proceedings of the IEEE InternationalConference on Computer Vision
 Non-local neural networks,2018, InProceedings of the IEEE conference on computer vision and pattern recognition
 Ginet: Graphinteraction network for scene parsing,2020, In Proceedings of the European conference on computervision (ECCV)
 Multi-scale context aggregation by dilated convolutions,2015, arXivpreprint arXiv:1511
 Object-contextual representations for semantic seg-mentation,2019, arXiv preprint arXiv:1909
 Latentgnn: Learning efficient non-local relationsfor visual recognition,2019, arXiv preprint arXiv:1905
 Conditional random fields as recurrent neural net-works,2015, In Proceedings of the IEEE international conference on computer vision
 Sceneparsing through ade20k dataset,2017, In Proceedings of the IEEE conference on computer vision andpattern recognition
 Asymmetric non-local neuralnetworks for semantic segmentation,2019, In Proceedings of the IEEE International Conference onComputer Vision
