title,year,conference
 Quantifying the chemicalbeauty of drugs,2012, Nature Chemistry
 The rise of deeP learning in drugdiscovery,2018, Drug Discovery Today
 AutoAugment: Learning augmentationstrategies from data,2019, In CVPR
 Differentiable exPected hyPervolume imProvement forParallel multi-objective Bayesian oPtimization,2020, arXiv Preprint
 A fast and elitist multiobjective genetic algorithm:NSGA-II,2002, IEEE Transactions on Evolutionary Computation
 On the art of comPiling and using‘drug-like’ chemical fragment sPaces,2008, ChemMedChem
 Convolutional networks on graPhs for learning molecular fingerPrints,2015, In NIPS
 From evolutionary comPutation to the evolution of things,2015, Nature
 Introduction to fragment-based drug discovery,2011, Topics in Current Chemistry
 Z-Forcing: Training stochastic recurrentnetworks,2017, In NIPS
 How to exPlore chemical sPace usingalgorithms and automation,2019, Nature Review Chemistry
 druGAN: An advancedgenerative adversarial autoencoder model for de novo generation of new molecules with desiredmolecular ProPerties in silico,2017, Molecular Pharmaceutics
 Auto-encoding variational Bayes,2014, In International Conference onLearning Representations
 Anomaly detection based on unsupervised disentangledrepresentation learning in combination with manifold learning,2020, In International Joint Conferenceon Neural Networks
 Learning fitness functions forgenetic algorithms,2019, arXiv Preprint
 Efficient estimation of word representations invector space,2013, In International Conference on Learning Representations
 The effectiveness of data augmentation in image classification using deeplearning,2017, arXiv Preprint
 A deep generative model for fragment-based molecule gener-ation,2020, In International Conference on Artificial Intelligence and Statistics
 Auto-matic chemical design using a data-driven continuous representation of molecules,2018, ACS CentralScience
 Evolution strategies as a scalable alternativeto reinforcement learning,2017, arXiv Reprint
 Improving neural machine translation models with mono-lingual data,2016, In ACL
 Discovering high-affinity ligands forproteins: SAR by NMR,1996, Science
 GraphVAE: Towards generation of small graphs using varia-tional autoencoders,2018, In ICANN
 Designing neural networks through neu-roevolution,2019, Nature Machine Intelligence
 Re-balancing variational autoencoder loss formolecule sequence generation,2020, arXiv Preprint
 Graph convolutional policy network for goal-directed molecular graph generation,2018, In NeurIPS
 Optimization of molecules vis deep reinforce-ment learning,2019, Scientific Reports
