title,year,conference
 Deep-learning-based optimizationof the under-sampling pattern in mri,2020, IEEE Transactions on Computational Imaging
 Learning-based optimization of theunder-sampling pattern in mri,2019, In International Conference on Information Processing in MedicalImaging
 Low-complexity single-image sUper-resolUtion based on nonnegative neighbor embedding,2012, 2012
 Sparse sensing for statistical inference,2016, Foundationsand Trends® in Signal Processing
 Masking schemes for image manifolds,2014, In 2014 IEEEWorkshop on Statistical Signal Processing (SSP)
 Image sUper-resolUtion Using deepconvolUtional networks,2015, IEEE transactions on pattern analysis and machine intelligence
 Compressive sensing via nonlo-cal low-rank regularization,2014, IEEE Transactions on Image Processing
 Single-pixel imaging via compressive sampling,2008, IEEE signal processingmagazine
 Deep Learning,2016, MIT Press
 Optimized structured sparse sensing matrices forcompressive sensing,2019, Signal Processing
 Deep probabilistic subsamplingfor task-adaptive compressed sensing,2019, In International Conference on Learning Representations
 Reconnet: Non-iterative reconstruction of images from compressively sensed measurements,2016, In Proceedings ofthe IEEE Conference on Computer Vision and Pattern Recognition
 Photo-realistic sin-gle image super-resolution using a generative adversarial network,2017, In Proceedings of the IEEEconference on computer vision and pattern recognition
 An efficient augmented lagrangian methodwith applications to total variation minimization,2013, Computational Optimization and Applications
 Learning to invert: Signal recovery via deep convolutionalnetworks,2017, In 2017 IEEE international conference on acoustics
 Deepcodec: Adaptive sensing and re-covery via deep convolutional neural networks,2017, arXiv preprint arXiv:1707
 A data-driven and distributed approachto sparse signal representation and recovery,2018, 2018
 Deep learning sparse ternaryprojections for compressed sensing of images,2017, In 2017 IEEE Global Conference on Signal andInformation Processing (GlobalSIP)
 Unsupervised representation learning with deepconvolutional generative adversarial networks,2015, arXiv preprint arXiv:1511
 Compressivesensing on a cmos separable-transform image sensor,2010, Proceedings ofthe IEEE
 Compressed sensing with deep image prior and learned regularization,2018, arXiv preprintarXiv:1806
 Data-driven sampling matrix booleanoptimization for energy-efficient biomedical signal acquisition by compressive sensing,2016, IEEEtransactions on biomedical circuits and systems
 Learning fast magnetic resonance imaging,2019, arXiv preprint arXiv:1905
 Learning a compressed sensing measure-ment matrix via gradient unrolling,2018, arXiv preprint arXiv:1806
 Lapran: A scalable laplacian pyramid reconstructive ad-versarial network for flexible compressive sensing reconstruction,2018, In Proceedings of the EuropeanConference on Computer Vision (ECCV)
 Dr2-net:Deep residual reconstruction network for image compressive sensing,2019, Neurocomputing
 On single image scale-up using sparse-representations,2010, In International conference on curves and surfaces
 Ista-net: Interpretable optimization-inspired deep network forimage compressive sensing,2018, In Proceedings of the IEEE conference on computer vision andpattern recognition
 On-chip neural data compression based oncompressed sensing with sparse sensing matrices,2018, IEEE transactions on biomedical circuits andsystems
