title,year,conference
 Deep learning with differential privacy,2016, In Proceedings of the 2016 ACM SIGSACConference on Computer and Communications Security
 A convergence theory for deep learning via over-parameterization,2019, In ICML
 On the convergence rate of training recurrent neuralnetworks,2019, In NeurIPS
 Computing a nonnegative matrixfactorization—provably,2012, In STOC
 Fine-grained analysis of op-timization and generalization for overparameterized two-layer neural networks,2019, In InternationalConference on Machine Learning (ICML)
 Learning two layer rectified neural networksin polynomial time,2019, In Conference on Learning Theory (COLT)
 Parameterized in-tractability of even set and shortest vector problem from gap-eth,2018, In ICALP
 Training a 3-node neural network is np-complete,1992, NeuralNetworks
 Learning deep relu networks is fixed-parametertractable,2020, arXiv preprint arXiv:2009
 Parameterized approximation al-gorithms for bidirected steiner network problems,2018, In ESA
 Complexity theoretic limitations on learning dnf’s,2016, InConference on Learning Theory (COLT)
 Mildly exponential reduction from gap 3sat to polynomial-gap label-cover,2016, In ElectronicColloquium on Computational Complexity (ECCC)
 Personal communication,2017, 2017
 Eth-hardness of approximating 2-csps and directed steiner net-work,2018, In ITCS
 Gradient descent provably optimizesover-parameterized neural networks,2019, In ICLR
 Differential privacy: A survey of results,2008, In International conference on theory andapplications of models of computation
 Jointdnn: an efficienttraining and inference engine for intelligent mobile cloud computing services,2019, IEEE Transactionson Mobile Computing
 Learning one-hidden-layer neural networks with landscapedesign,2018, In ICLR
 Reliably learning the relu in polyno-mial time,2017, In Conference on Learning Theory (COLT)
 A hybrid approach to offloading mobile image classification,2014, In 2014 IEEE InternationalConference on Acoustics
 Texthide: Tackling dataprivacy in language understanding tasks,2020, In The Conference on Empirical Methods in NaturalLanguage Processing (Findings of EMNLP)
 Instahide: Instance-hiding schemes forprivate distributed learning,2020, In Internation Conference on Machine Learning (ICML)
 Which problems have strongly ex-ponential complexity? In Proceedings,1998, 39th Annual Symposium on Foundations of ComputerScience (FOCS)
 Neural tangent kernel: Convergence and gen-eralization in neural networks,2018, In Advances in neural information processing systems (NeurIPS)
 Perceptual losses for real-time style transfer andsuper-resolution,2016, In European Conference on Computer Vision (ECCV)
 On the parameterized complexity of approximating domi-nating set,2018, In Proceedings of the 50th Annual ACM SIGACT Symposium on Theory of Computing(STOC)
 Supervised contrastive learning,2020, arXiv preprintarXiv:2004
 Federated optimization: Distributed opti-mization beyond the datacenter,2015, arXiv preprint arXiv:1511
 Gradient-based learning applied todocument recognition,1998, Proceedings of the IEEE
 Generalized leverage scoresampling for neural networks,2020, In NeurIPS
 Learning overparameterized neural networks via stochastic gradientdescent on structured data,2018, In Advances in Neural Information Processing Systems (NeurIPS)
 Convergence analysis of two-layer neural networks with ReLU activa-tion,2017, In Advances in neural information processing systems (NIPS)
 On the computational efficiency of trainingneural networks,2014, In Advances in neural information processing Systems (NeurIPS)
 Generative adver-sarial networks and perceptual losses for video super-resolution,2019, IEEE Transactions on ImageProcessing
 Almost-polynomial ratio eth-hardness of approximating densest k-subgraph,2017, InSTOC
 A birthday repetition theorem and complexity of ap-proximating dense csps,2017, In ICALP
 Towards deep neural net-work training on encrypted data,2019, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition Workshops
 Readingdigits in natural images with unsupervised feature learning,2011, 2011
 Weighted low rank approximations withprovable guarantees,2016, In Proceedings of the 48th Annual Symposium on the Theory of Computing(STOC)
 Privacy-preserving deep learning,2015, In Proceedings of the 22ndACM SIGSAC Conference on Computer and Communications Security (CCS)
 Low rank approximation with entrywise l1-normerror,2017, In Proceedings of the 49th Annual ACM SIGACT Symposium on Theory of Computing(STOC)
 Relative error tensor low rank approximation,2019, InSODA
 Decentralized collaborative learning ofpersonalized models over networks,2016, arXiv preprint arXiv:1610
 Split learning for health:Distributed deep learning without sharing raw patient data,2018, arXiv preprint arXiv:1812
 Perceptual adversarial networksfor image-to-image transformation,2018, IEEE Transactions on Image Processing
 Improving robustness to model inversion attacks viamutual information regularization,2020, arXiv preprint arXiv:2009
 Image quality assessment:from error visibility to structural similarity,2004, IEEE transactions on image processing
 Towards fast computation of certified robustness for relu networks,2018, InICML
 Fashion-mnist: a novel image dataset for benchmark-ing machine learning algorithms,2017, arXiv preprint arXiv:1708
 Defending model inversionand membership inference attacks via prediction purification,2020, arXiv preprint arXiv:2005
 Over-parameterized adversarial training: An analysis overcoming the curse of dimensionality,2020, InNeurIPS
 The secret revealer:generative model-inversion attacks against deep neural networks,2020, In Proceedings of the IEEEConference on Computer Vision and Pattern Recognition (CVPR)
 Learning non-overlapping convolutional neuralnetworks with multiple kernels,2017, arXiv preprint arXiv:1711
 Recovery guaranteesfor one-hidden-layer neural networks,2017, In ICML
 Deep leakage from gradients,2019, In NeurIPS
