title,year,conference
 Variational autoencoder based anomaly detection using reconstruc-tion probability,2015, Special Lecture on IE
 Deep generative stochasticnetworks trainable by backprop,2014, In International Conference on Machine Learning
 Auto-association by multilayer perceptrons and singular valuedecomposition,1988, Biological cybernetics
 A family of mcmc methods on implicitlydefined manifolds,2012, In Neil D
 Hyperspher-ical variational auto-encoders,2018, In 34th Conference on Uncertainty in Artificial Intelligence 2018
 Implicit generation and modeling with energy based mod-els,2019, In H
 Memorizing normality to detect anomaly: Memory-augmented deepautoencoder for unsupervised anomaly detection,2019, In IEEE International Conference on ComputerVision (ICCV)
 Deep anomaly detection with outlierexposure,2019, In International Conference on Learning Representations
 Unsupervised discovery ofnonlinear structure using contrastive backpropagation,2006, Cognitive science
 Training products of experts by minimizing contrastive divergence,2002, Neuralcomputation
 A novelty detection approach to classifi-cation,1995, In Proceedings of the International Joint Conference on Artificial Intelligence
 Measur-ing compositional generalization: A comprehensive method on realistic data,2019, arXiv preprintarXiv:1912
 Auto-encoding variational bayes,2014, International Conferenceon Learning Representations (ICLR)
 Glow: Generative flow with invertible 1x1 convolutions,2018, InAdvances in Neural Information Processing Systems
 Outlier detection using autoencoders,2016, Technical report
 Mcmc using hamiltonian dynamics,2011, Handbook of markov chain monte carlo
 Generative probabilistic noveltydetection with adversarial autoencoders,2018, In Advances in neural information processing systems
 Likelihood ratios for out-of-distribution detection,2019, In Advances inNeural Information Processing Systems
 Contractive auto-encoders: explicit invariance during feature extraction,2011, In Proceedings of the 28th InternationalConference on International Conference on Machine Learning
 Pixelcnn++: Improving thepixelcnn with discretized logistic mixture likelihood and other modifications,2017, arXiv preprintarXiv:1701
 Csi: Novelty detection via contrastivelearning on distributionally shifted instances,2020, arXiv preprint arXiv:2007
 Wasserstein auto-encoders,2017, arXiv preprint arXiv:1711
 Fixing biasin reconstruction-based anomaly detection with lipschitz discriminators,2019, arXiv preprintarXiv:1905
 Extracting andcomposing robust features with denoising autoencoders,2008, In Proceedings of the 25th internationalconference on Machine learning
 Learning deep representations ofappearance and motion for anomalous event detection,2015, arXiv preprint arXiv:1510
 Deep structured energy based modelsfor anomaly detection,2016, arXiv preprint arXiv:1605
 Latent variables on spheres for autoencoders in high dimen-sions,2019, arXiv
 Spatio-temporal au-toencoder for video anomaly detection,2017, In Proceedings ofthe 25th ACM international conferenceon Multimedia
