title,year,conference
 Variance reduction for faster non-convex optimization,2016, InInternational Conference on Machine Learning
 Optimal transport based distributionally robustoptimization: Structural properties and iterative schemes,2018, arXiv preprint arXiv:1810
 Multivariate distributionally ro-bust convex regression under absolute error loss,2019, In Advances in Neural Information ProcessingSystems
 A pac-bayesian approach to adaptive classification,2003, preprint
 Two-player games for efficient non-convexconstrained optimization,2019, In Algorithmic Learning Theory
 Data-driven distributionally robust optimizationusing the wasserstein metric: Performance guarantees and tractable reformulations,2018, MathematicalProgramming
 Unsupervised domain adaptation by backpropagation,2015, InInternational Conference on Machine Learning
 Distributionally robust stochastic optimization with wassersteindistance,2016, arXiv preprint arXiv:1604
 Wasserstein distributional robustness and regularizationin statistical learning,2017, arXiv preprint arXiv:1712
 Preventing fairness gerryman-dering: Auditing and learning for subgroup fairness,2018, In International Conference on MachineLearning
 Exponentiated gradient versus gradient descent for linearpredictors,1997, information and computation
 Stochastic Approximation and Recursive Algorithms andApplications,2003, Springer
 Gradient-based learning applied todocument recognition,1998, Proceedings of the IEEE
 Variance-based regularization with convex objectives,2017, InAdvances in Neural Information Processing Systems
 Optimizing generalized rate metricswith three players,2019, In Advances in Neural Information Processing Systems
 Readingdigits in natural images with unsupervised feature learning,2011, In NIPS Workshop on Deep Learningand Unsupervised Feature Learning 2011
 Zur theorie der gesellschaftsspiele,1928, Mathematische annalen
 Online learning and online convex optimization,2012, Foundations andTrends® in Machine Learning
 Certifiable distributional robustness withprincipled adversarial training,2018, In International Conference on Learning Representations
 Generalizing to unseen domains via adversarial data augmentation,2018, In Advances inNeural Information Processing Systems
 Data-driven risk-averse stochastic optimization with wassersteinmetric,2018, Operations Research Letters
 So the Wasserstein ball iscompact,1958, The convexity of the Wasserstein ball is straightforward since the Wasserstein distance isconvex
