title,year,conference
 Uncertainty in deep learning,2016, University of Cambridge
 Stochastic optimization of sortingnetworks via continuous relaxations,2019, arXiv preprint arXiv:1903
 Distilling the knowledge in a neural network,2015, arXivpreprint arXiv:1503
 Calibrated prediction intervals for neural net-work regressors,2018, IEEE Access
 Accurate uncertainties for deep learningusing calibrated regression,2018, arXiv preprint arXiv:1807
 Verified uncertainty calibration,2019, In Advances inNeural Information Processing Systems
 Trainable calibration measures for neural networksfrom kernel mean embeddings,2018, In International Conference on Machine Learning
 Simple and scalable predic-tive uncertainty estimation using deep ensembles,2017, In Advances in neural information processingsystems
 Regularizingneural networks by penalizing confident output distributions,2017, arXiv preprint arXiv:1701
 Probabilistic outputs for support vector machines and comparisons to regularizedlikelihood methods,1999, Advances in large margin classifiers
 Distribution calibration for regression,2019, arXivpreprint arXiv:1905
 Rethink-ing the inception architecture for computer vision,2016, In Proceedings of the IEEE conference oncomputer vision and pattern recognition
 Evaluating model calibration in classification,2019, arXiv preprintarXiv:1902
 Obtaining calibrated probability estimates from decision treesand naive bayesian classifiers,2001, In Icml
 mixup: Beyond empiricalrisk minimization,2017, arXiv preprint arXiv:1710
