title,year,conference
 How tobackdoor federated learning,2020, In International Conference on Artificial Intelligence and Statistics
 Analyzing federatedlearning through an adversarial lens,2019, In International Conference on Machine Learning
 Evasion attacks against machine learning at test time,2013, In Joint Europeanconference on machine learning and knowledge discovery in databases
 Unsupervised learning by predicting noise,2017, In InternationalConference on Machine Learning
 Practical secure aggregation for privacy-preserving machine learning,2017, In ACM SIGSAC Conference on Computer and CommunicationsSecurity
 On a class of error correcting binary groupcodes,1960, Information and control
 Leaf: A benchmark for federated settings,2018, arXiv preprint arXiv:1812
 Automated latent fingerprint recognition,2018, IEEE transactions on patternanalysis and machine intelligence
 Towards evaluating the robustness of neural networks,2017, In IEEEsymposium on security and privacy
 Emnist: Extending mnist tohandwritten letters,2017, In International Joint Conference on Neural Networks
 Error-correcting output codes: A general method forimproving multiclass inductive learning programs,1991, In Conference on Artificial Intelligence
 Learning distributed rePresentations of concePts,1986, In Annual conference ofthe cognitive science society
 The non-iid data quagmire ofdecentralized machine learning,2019, arXiv preprint arXiv:1910
 DeeP learning face attributes in the wild,2015, InInternational Conference on Computer Vision
 Learning differentially Privaterecurrent language models,2017, In International Conference on Learning Representations
 ExPloiting unintendedfeature leakage in collaborative learning,2019, In IEEE Symposium on Security and Privacy
 VoxCeleb: A large-scale sPeaker identifica-tion dataset,2017, In INTERSPEECH
 Iris recognition with off-the-shelfcnn features: A deeP learning PersPective,2017, IEEE Access
 Modern coding theory,2008, Cambridge university Press
 Parallel networks that learn to Pronounce englishtext,1987, Complex systems
 DeeP neural networkembeddings for text-indePendent sPeaker verification,2017, In INTERSPEECH
 Intriguing ProPerties of neural networks,2013, In International Conference on LearningRepresentations
 Federated learning withonly Positive labels,2020, In International Conference on Machine Learning
 An end-to-end text-indePendent sPeaker verification framework with a keyword adversarial network,2019, InINTERSPEECH
