title,year,conference
 Neural forecasting:Introduction and literature overview,2020, arXiv preprint arXiv:2004
 Sylvester normalizing flowsfor variational inference,2018, arXiv preprint arXiv:1803
 Learning phrase representations using rnn encoder-decoder for statistical machinetranslation,2014, arXiv preprint arXiv:1406
 Capacity and trainability in recurrent neuralnetworks,2017, In International Conference on Learning Representations
 Block neural autoregressive flow,2019, arXiv preprint arXiv:1904
 Nice: Non-linear independent components estimation,2014, arXivpreprint arXiv:1410
 Density estimation using Real NVP,2016, arXiv preprintarXiv:1605
 Cubic-spline flows,2019, arXiv preprintarXiv:1906
 Neural spline flows,2019, In Advances inNeural Information Processing Systems
 Convergence de la repartition empirique vers la repartition theorique,1953, InAnnales Scientfiques de l'Ecole Normale Superieure
 MADE: Masked autoencoder for distributionestimation,2015, In International Conference on Machine Learning
 Generative adversarial nets,2014, In Advances in neural information processingsystems
 Ffjord: Free-formcontinuous dynamics for scalable reversible generative models,2018, arXiv preprint arXiv:1810
 Long short-term memory,1997, Neural computation
 Neural autoregressive flows,2018, arXivpreprint arXiv:1804
 An introduction to variationalmethods for graphical models,1999, Machine learning
 Adam: A method for stochastic optimization,2014, arXiv:1412
 Auto-encoding variational bayes,2013, arXiv preprint arXiv:1312
 Improvedvariational inference with inverse autoregressive flow,2016, In Advances in neural information processing systems
 Handwritten digit recognition with a back-propagation network,1990, In Advances in neuralinformation processing systems
 Enhancingthe locality and breaking the memory bottleneck of transformer on time series forecasting,2019, In H
 Regularized m-estimators with nonconvexity: Statistical and algorithmictheory for local optima,2013, In C
 Revisiting classifier two-sample tests,2016, arXiv preprint arXiv:1610
 The concrete distribution: A continuous relaxation ofdiscrete random variables,2016, arXiv preprint arXiv:1611
 A database of human segmented natural images and its applicationto evaluating segmentation algorithms and measuring ecological statistics,2001, In Proc
 Integral probability metrics and their generating classes of functions,1997, Advances in AppliedProbability
 Machine learning : a probabilistic perspective,2013, MIT Press
 Autoregressive energy machines,2019, arXiv preprint arXiv:1904
 Transformation autoregressive networks,2018, arXiv preprint arXiv:1801
 Pixel recurrent neural networks,2016, arXivpreprint arXiv:1601
 Masked autoregressive flow for density estimation,2017, InAdvances in Neural Information Processing Systems
 Variational inference with normalizing flows,2015, arXiv preprintarXiv:1505
 Density estimation for statistics and data analysis,2018, Routledge
 Language models with transformers,2019, arXiv preprintarXiv:1904
