title,year,conference
 Learning efficientobject detection models with knowledge distillation,2017, In Advances in Neural Information ProcessingSystems
 Exploiting linearstructure within convolutional networks for efficient evaluation,2014, In Advances in neural informationprocessing systems
 Speech recognition with deep recurrent neural networks,2013, In2013 IEEE International Conference on Acoustics
 Deep residual learning for imagerecognition,2016, In Proceedings of the IEEE conference on computer vision and pattern recognition
 Distilling the knowledge in a neural network,2015, arXivpreprint arXiv:1503
 Mobilenets: Efficient convolutional neural networks formobile vision applications,2017, arXiv preprint arXiv:1704
 Densely connectedconvolutional networks,2017, In Proceedings of the IEEE conference on computer vision and patternrecognition
 Deep roots: Improvingcnn efficiency with hierarchical filter groups,2017, In Proceedings of the IEEE conference on computervision and pattern recognition
 Batch normalization: Accelerating deep network training byreducing internal covariate shift,2015, In International Conference on Machine Learning
 Speeding up convolutional neural networkswith low rank expansions,2014, arXiv preprint arXiv:1405
 Deeply-recursive convolutional netWork forimage super-resolution,2016, In Proceedings of the IEEE conference on computer vision and patternrecognition
 Optimal brain damage,1990, In Advances in neuralinformation processing Systems
 Pruning filters forefficient convnets,2017, In International Conference on Learning Representations
 Recurrent convolutional neural network for object recognition,2015, InProceedings of the IEEE conference on computer vision and pattern recognition
 On the difficulty of training recurrent neuralnetworks,2013, In International conference on machine learning
 Channel-level acceleration of deep face representations,2015, IEEE Access
 Mo-bilenetv2: Inverted residuals and linear bottlenecks,2018, In Proceedings of the IEEE conference oncomputer vision and pattern recognition
 On orthogonality and learn-ing recurrent networks with long term dependencies,2017, In Proceedings of the 34th InternationalConference on Machine Learning
 Fbnet: Hardware-aware efficient convnet design viadifferentiable neural architecture search,2019, In Proceedings of the IEEE Conference on ComputerVision and Pattern Recognition
 Aggregated residualtransformations for deep neural networks,2017, In Proceedings of the IEEE conference on computervision and pattern recognition
 Fsnet: Compression ofdeep convolutional neural netWorks by filter summary,2020, In International Conference on LearningRepresentations
 Feedback netWorks,2017, In 2017 IEEE Conference on Computer Vision and PatternRecognition (CVPR)
 Shufflenet: An extremely efficientconvolutional neural netWork for mobile devices,2018, In Proceedings of the IEEE conference oncomputer vision and pattern recognition
