title,year,conference
 Classification-based anomaly detection for general data,2020, InICLR
 Mvtec ad-a comprehensivereal-world dataset for unsupervised anomaly detection,2019, In Proceedings of the IEEE Conferenceon Computer Vision and Pattern Recognition
 A simple framework forcontrastive learning of visual representations,2020, arXiv preprint arXiv:2002
 Group anomaly detection viagraph autoencoders,2019, 2019
 Asirra: a captcha that exploits interest-aligned manual image categorization,2007, In ACM Conference on Computer and CommunicationsSecurity
 A geometric frame-work for unsupervised anomaly detection,2002, In Applications of data mining in computer security
 Unsupervised representation learning bypredicting image rotations,2018, arXiv preprint arXiv:1803
 Ensemble gaussian mixture models forprobability density estimation,2013, Computational Statistics
 Deep anomaly detection using geometric transformations,2018, InNeurIPS
 Deep anomaly detection with outlierexposure,2018, arXiv preprint arXiv:1812
 Using pre-training can improve model robustnessand uncertainty,2019, arXiv preprint arXiv:1901
 Using self-supervised learningcan improve model robustness and uncertainty,2019, In NeurIPS
 Principal component analysis,2011, Springer
 Overcom-ing catastrophic forgetting in neural networks,2017, Proceedings of the national academy of sciences
 Outlier detection with kerneldensity functions,2007, In International Workshop on Machine Learning and Data Mining in PatternRecognition
 Learning deep features for one-class classification,2019, IEEETransactions on Image Processing
 80 million tiny images: A large data set fornonparametric object and scene recognition,2008, IEEE transactions on pattern analysis and machineintelligence
 Fashion-mnist: a novel image dataset for benchmark-ing machine learning algorithms,2017, arXiv preprint arXiv:1708
 Fast and robust segmentation of whiteblood cell images by self-supervised learning,2018, Micron
 Deep autoencoding gaussian mixture model for unsupervised anomaly detection,2018, 2018
