title,year,conference
 Neural machine translation by jointlylearning to align and translate,2015, In International Conference on Learning Representations (ICLR)
 Deep learning for decoding of linear codes-asyndrome-based approach,2018, In International Symposium on Information Theory (ISIT)
 Blind channel equalization using variational autoencoders,2018, InInternational Conference on Communications Workshops (ICC Workshops)
 Reinforce-ment learning for channel coding: Learned bit-flipping decoding,2019, In Annual Allerton Conferenceon Communication
 BERT: Pre-training of deepbidirectional transformers for language understanding,2019, In Conference of the North AmericanChapter of the Association for Computational Linguistics (NAACL)
 Improved random redundant iterative hdpc decoding,2009, IEEE Transactionson Communications
 On the decoding of polarcodes on permuted factor graphs,2018, In Global Communications Conference (GLOBECOM)
 Belief propagationlist decoding of polar codes,2018, IEEE Communications Letters
 On deep learning-basedchannel decoding,2017, In Annual Conference on Information Sciences and Systems (CISS)
 The permutation groups and the equivalence of cyclic and quasi-cyclic codes,2010, arXivpreprint arXiv:1002
 A new permutation decoding methodfor reed-muller codes,2019, In IEEE International Symposium on Information Theory (ISIT)
 Com-munication algorithms via deep learning,2018, International Conference on Learning Representations(ICLR
 Learned belief-propagation de-coding with simple scaling and snr adaptation,2019, In IEEE International Symposium on InformationTheory (ISIT)
 Roberta: A robustly optimized bert pretrainingapproach,2019, arXiv preprint arXiv:1907
 Learning to decode linear codes using deeplearning,2016, In Annual Allerton Conference on Communication
 RNN decoding of linear blockcodes,2017, arXiv preprint arXiv:1702
 Probabilistic reasoning in intelligent systems: networks of plausible inference,2014, Elsevier
 Modern coding theory,2008, Cambridge university press
 A very brief introduction to machine learning with applications to communicationsystems,2018, IEEE Transactions on Cognitive Communications and Networking
 From learning to meta-learning: Reducedtraining overhead and complexity for communication systems,2020, arXiv preprint arXiv:2001
 GLUE:A multi-task benchmark and analysis platform for natural language understanding,2018, In EMNLPWorkshop BlackboxNLP: Analyzing and Interpreting Neural Networks for NLP
